Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
OXY,C9,All_Maps,All,"Jett, Raze",1.59,338,44,21,8,+23,80%,186,19%,12,3,+9
Xeppaa,C9,All_Maps,All,"Killjoy, Vyse",1.41,289,35,20,12,+15,94%,190,27%,7,0,+7
v1c,C9,All_Maps,All,"Omen, Brimstone",1.38,196,25,13,16,+12,94%,137,41%,2,2,0
mitch,C9,All_Maps,All,Skye,1.27,191,24,15,15,+9,91%,128,20%,1,3,-2
neT,C9,All_Maps,All,Viper,1.04,153,21,13,5,+8,80%,98,36%,1,4,-3
heat,FUR,All_Maps,All,Viper,0.76,148,18,30,6,-12,54%,104,35%,1,4,-3
adverso,FUR,All_Maps,All,"Sova, Deadlock",0.76,177,20,29,7,-9,60%,119,24%,2,5,-3
Palla,FUR,All_Maps,All,"Neon, Raze",0.66,171,19,32,5,-13,46%,118,25%,3,5,-2
tuyz,FUR,All_Maps,All,"Omen, Brimstone",0.65,101,12,26,14,-14,60%,68,52%,2,4,-2
Urango,FUR,All_Maps,All,"Killjoy, Skye",0.32,118,13,32,5,-19,46%,70,23%,4,5,-1
OXY,C9,All_Maps,Attack,"Jett, Raze",1.00,259,17,13,2,+4,65%,143,19%,4,3,+1
Xeppaa,C9,All_Maps,Attack,"Killjoy, Vyse",1.15,246,15,11,4,+4,88%,161,22%,3,0,+3
v1c,C9,All_Maps,Attack,"Omen, Brimstone",1.31,217,13,9,4,+4,94%,146,47%,1,1,0
mitch,C9,All_Maps,Attack,Skye,1.39,216,14,8,6,+6,88%,139,27%,0,2,-2
neT,C9,All_Maps,Attack,Viper,0.89,145,9,7,1,+2,71%,101,45%,0,3,-3
heat,FUR,All_Maps,Attack,Viper,0.56,129,8,16,3,-8,56%,87,33%,0,3,-3
adverso,FUR,All_Maps,Attack,"Sova, Deadlock",0.46,120,7,17,3,-10,44%,74,23%,1,3,-2
Palla,FUR,All_Maps,Attack,"Neon, Raze",0.50,145,8,17,2,-9,33%,94,24%,0,3,-3
tuyz,FUR,All_Maps,Attack,"Omen, Brimstone",0.44,75,4,15,6,-11,50%,49,45%,0,4,-4
Urango,FUR,All_Maps,Attack,"Killjoy, Skye",0.46,125,7,16,5,-9,56%,68,19%,2,2,0
OXY,C9,All_Maps,Defend,"Jett, Raze",2.16,412,27,8,6,+19,94%,225,19%,8,0,+8
Xeppaa,C9,All_Maps,Defend,"Killjoy, Vyse",1.66,326,20,9,8,+11,100%,218,33%,4,0,+4
v1c,C9,All_Maps,Defend,"Omen, Brimstone",1.44,175,12,4,12,+8,94%,128,34%,1,1,0
mitch,C9,All_Maps,Defend,Skye,1.16,171,10,7,9,+3,94%,117,13%,1,1,0
neT,C9,All_Maps,Defend,Viper,1.19,159,12,6,4,+6,89%,96,29%,1,1,0
heat,FUR,All_Maps,Defend,Viper,0.98,171,10,14,3,-4,53%,123,36%,1,1,0
adverso,FUR,All_Maps,Defend,"Sova, Deadlock",1.08,240,13,12,4,+1,76%,166,25%,1,2,-1
Palla,FUR,All_Maps,Defend,"Neon, Raze",0.83,200,11,15,3,-4,59%,143,25%,3,2,+1
tuyz,FUR,All_Maps,Defend,"Omen, Brimstone",0.87,128,8,11,8,-3,71%,89,57%,2,0,+2
Urango,FUR,All_Maps,Defend,"Killjoy, Skye",0.21,112,6,16,0,-10,35%,72,28%,2,3,-1
