Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Sunset,1,"""1-0""",2G,Attackers,Elimination
1Sunset,2,"""2-0""",2G,Attackers,Elimination
1Sunset,3,"""2-1""",EG,Defenders,Elimination
1Sunset,4,"""3-1""",2G,Attackers,Elimination
1Sunset,5,"""3-2""",EG,Defenders,Elimination
1Sunset,6,"""4-2""",2G,Attackers,Spike Detonation
1Sunset,7,"""4-3""",EG,Defenders,Defuse
1Sunset,8,"""5-3""",2G,Attackers,Elimination
1Sunset,9,"""5-4""",EG,Defenders,Elimination
1Sunset,10,"""5-5""",EG,Defenders,Elimination
1Sunset,11,"""6-5""",2G,Attackers,Elimination
1Sunset,12,"""6-6""",EG,Defenders,Elimination
1Sunset,13,"""6-7""",2G,Attackers,Elimination
1Sunset,14,"""6-8""",2G,Attackers,Spike Detonation
1Sunset,15,"""6-9""",2G,Attackers,Elimination
1Sunset,16,"""6-10""",2G,Attackers,Elimination
1Sunset,17,"""6-11""",2G,Attackers,Elimination
1Sunset,18,"""7-11""",EG,Defenders,Elimination
1Sunset,19,"""7-12""",2G,Attackers,Elimination
1Sunset,20,"""7-13""",2G,Attackers,Elimination
1Sunset,21,"""""",,,
1Sunset,22,"""""",,,
1Sunset,23,"""""",,,
1Sunset,24,"""""",,,
