Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Sunset,1,"""1-0""",SEN,Attackers,Elimination
1Sunset,2,"""2-0""",SEN,Attackers,Elimination
1Sunset,3,"""2-1""",FUR,Defenders,Defuse
1Sunset,4,"""2-2""",FUR,Defenders,Defuse
1Sunset,5,"""2-3""",FUR,Defenders,Elimination
1Sunset,6,"""2-4""",FUR,Defenders,Time Expired
1Sunset,7,"""2-5""",FUR,Defenders,Elimination
1Sunset,8,"""2-6""",FUR,Defenders,Defuse
1Sunset,9,"""2-7""",FUR,Defenders,Elimination
1Sunset,10,"""2-8""",FUR,Defenders,Elimination
1Sunset,11,"""2-9""",FUR,Defenders,Time Expired
1Sunset,12,"""2-10""",FUR,Defenders,Elimination
1Sunset,13,"""2-11""",SEN,Attackers,Elimination
1Sunset,14,"""3-11""",FUR,Defenders,Defuse
1Sunset,15,"""4-11""",FUR,Defenders,Elimination
1Sunset,16,"""4-12""",SEN,Attackers,Elimination
1Sunset,17,"""4-13""",SEN,Attackers,Elimination
1Sunset,18,"""""",,,
1Sunset,19,"""""",,,
1Sunset,20,"""""",,,
1Sunset,21,"""""",,,
1Sunset,22,"""""",,,
1Sunset,23,"""""",,,
1Sunset,24,"""""",,,
