Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
jawgemo,G2,Map_2_2Lotus,All,Yoru,1.36,293,24,16,8,+8,86%,177,22%,4,2,+2
BABYBAY,G2,Map_2_2Lotus,All,Viper,1.16,228,16,14,8,+2,68%,142,17%,3,3,0
valyn,G2,Map_2_2Lotus,All,Omen,1.12,250,21,16,8,+5,82%,161,32%,2,0,+2
JonahP,G2,Map_2_2Lotus,All,Fade,0.92,198,16,16,5,0,82%,125,30%,2,1,+1
trent,G2,Map_2_2Lotus,All,Tejo,0.68,115,10,15,5,-5,77%,77,14%,3,2,+1
OXY,C9,Map_2_2Lotus,All,Neon,1.47,336,24,19,7,+5,95%,218,37%,6,3,+3
neT,C9,Map_2_2Lotus,All,Viper,1.07,171,15,15,3,0,77%,99,24%,2,4,-2
v1c,C9,Map_2_2Lotus,All,Omen,0.93,215,16,17,8,-1,68%,153,24%,0,1,-1
Xeppaa,C9,Map_2_2Lotus,All,Vyse,0.81,175,13,17,9,-4,77%,110,17%,0,2,-2
mitch,C9,Map_2_2Lotus,All,Fade,0.47,136,9,19,8,-10,68%,90,14%,0,4,-4
jawgemo,G2,Map_2_2Lotus,Attack,Yoru,1.10,224,9,7,1,+2,80%,141,38%,1,1,0
BABYBAY,G2,Map_2_2Lotus,Attack,Viper,0.86,180,5,7,4,-2,50%,115,19%,1,2,-1
valyn,G2,Map_2_2Lotus,Attack,Omen,1.15,277,11,9,2,+2,80%,172,35%,2,0,+2
JonahP,G2,Map_2_2Lotus,Attack,Fade,0.82,226,8,9,3,-1,70%,161,32%,0,1,-1
trent,G2,Map_2_2Lotus,Attack,Tejo,0.67,143,5,7,2,-2,80%,82,10%,2,0,+2
OXY,C9,Map_2_2Lotus,Attack,Neon,1.94,407,16,9,4,+7,100%,270,51%,2,0,+2
neT,C9,Map_2_2Lotus,Attack,Viper,0.69,116,5,9,2,-4,58%,74,15%,2,4,-2
v1c,C9,Map_2_2Lotus,Attack,Omen,0.84,173,7,10,5,-3,67%,109,17%,0,0,0
Xeppaa,C9,Map_2_2Lotus,Attack,Vyse,0.43,124,4,10,4,-6,75%,82,14%,0,2,-2
mitch,C9,Map_2_2Lotus,Attack,Fade,0.49,151,6,11,3,-5,58%,105,19%,0,2,-2
jawgemo,G2,Map_2_2Lotus,Defend,Yoru,1.57,351,15,9,7,+6,92%,207,16%,3,1,+2
BABYBAY,G2,Map_2_2Lotus,Defend,Viper,1.40,270,11,7,4,+4,83%,165,16%,2,1,+1
valyn,G2,Map_2_2Lotus,Defend,Omen,1.10,228,10,7,6,+3,83%,152,29%,0,0,0
JonahP,G2,Map_2_2Lotus,Defend,Fade,1.00,175,8,7,2,+1,92%,96,27%,2,0,+2
trent,G2,Map_2_2Lotus,Defend,Tejo,0.69,92,5,8,3,-3,75%,72,23%,1,2,-1
OXY,C9,Map_2_2Lotus,Defend,Neon,0.89,251,8,10,3,-2,90%,155,20%,4,3,+1
neT,C9,Map_2_2Lotus,Defend,Viper,1.52,237,10,6,1,+4,100%,129,33%,0,0,0
v1c,C9,Map_2_2Lotus,Defend,Omen,1.03,266,9,7,3,+2,70%,207,30%,0,1,-1
Xeppaa,C9,Map_2_2Lotus,Defend,Vyse,1.25,238,9,7,5,+2,80%,145,21%,0,0,0
mitch,C9,Map_2_2Lotus,Defend,Fade,0.45,119,3,8,5,-5,80%,72,6%,0,2,-2
