Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
valyn,G2,Map_3_3Ascent,All,Omen,1.62,268,17,8,8,+9,94%,167,35%,2,0,+2
BABYBAY,G2,Map_3_3Ascent,All,Chamber,1.39,221,15,7,1,+8,76%,156,20%,2,2,0
trent,G2,Map_3_3Ascent,All,Sova,1.18,224,13,10,7,+3,82%,161,28%,1,1,0
JonahP,G2,Map_3_3Ascent,All,Vyse,1.14,234,15,11,6,+4,76%,133,20%,2,2,0
jawgemo,G2,Map_3_3Ascent,All,Yoru,0.96,183,11,11,6,0,82%,110,22%,2,3,-1
NaturE,EG,Map_3_3Ascent,All,Kayo,1.19,253,13,14,12,-1,82%,147,21%,1,1,0
yay,EG,Map_3_3Ascent,All,Jett,0.81,199,13,14,1,-1,59%,126,30%,2,4,-2
Derrek,EG,Map_3_3Ascent,All,Sova,0.79,179,8,15,7,-7,65%,143,45%,1,1,0
icy,EG,Map_3_3Ascent,All,Cypher,0.71,143,7,14,5,-7,59%,103,19%,3,0,+3
supamen,EG,Map_3_3Ascent,All,Omen,0.40,81,6,14,4,-8,76%,48,33%,1,3,-2
valyn,G2,Map_3_3Ascent,Attack,Omen,1.28,202,9,6,4,+3,92%,141,45%,1,0,+1
BABYBAY,G2,Map_3_3Ascent,Attack,Chamber,1.35,245,11,6,0,+5,67%,155,20%,2,2,0
trent,G2,Map_3_3Ascent,Attack,Sova,1.01,171,8,6,0,+2,75%,120,26%,1,0,+1
JonahP,G2,Map_3_3Ascent,Attack,Vyse,0.93,221,10,9,5,+1,75%,130,18%,0,2,-2
jawgemo,G2,Map_3_3Ascent,Attack,Yoru,1.16,228,9,8,5,+1,92%,138,18%,2,2,0
NaturE,EG,Map_3_3Ascent,Attack,Kayo,1.44,235,4,4,3,0,100%,123,26%,0,0,0
yay,EG,Map_3_3Ascent,Attack,Jett,0.40,168,3,5,0,-2,60%,106,38%,1,2,-1
Derrek,EG,Map_3_3Ascent,Attack,Sova,0.53,150,2,5,2,-3,80%,127,50%,0,1,-1
icy,EG,Map_3_3Ascent,Attack,Cypher,0.26,132,2,5,0,-3,60%,97,25%,1,0,+1
supamen,EG,Map_3_3Ascent,Attack,Omen,0.04,60,1,5,1,-4,80%,26,33%,0,0,0
valyn,G2,Map_3_3Ascent,Defend,Omen,2.44,427,8,2,4,+6,100%,229,25%,1,0,+1
BABYBAY,G2,Map_3_3Ascent,Defend,Chamber,1.51,166,4,1,1,+3,100%,160,20%,0,0,0
trent,G2,Map_3_3Ascent,Defend,Sova,1.59,352,5,4,7,+1,100%,261,29%,0,1,-1
JonahP,G2,Map_3_3Ascent,Defend,Vyse,1.63,267,5,2,1,+3,80%,140,25%,2,0,+2
jawgemo,G2,Map_3_3Ascent,Defend,Yoru,0.49,75,2,3,1,-1,60%,43,50%,0,1,-1
NaturE,EG,Map_3_3Ascent,Defend,Kayo,1.08,261,9,10,9,-1,75%,157,19%,1,1,0
yay,EG,Map_3_3Ascent,Defend,Jett,0.98,212,10,9,1,+1,58%,134,27%,1,2,-1
Derrek,EG,Map_3_3Ascent,Defend,Sova,0.90,192,6,10,5,-4,58%,149,44%,1,0,+1
icy,EG,Map_3_3Ascent,Defend,Cypher,0.89,148,5,9,5,-4,58%,106,17%,2,0,+2
supamen,EG,Map_3_3Ascent,Defend,Omen,0.56,91,5,9,3,-4,75%,58,33%,1,3,-2
