Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Ascent,1,"""0-1""",KRÜ,Attackers,Elimination
3Ascent,2,"""0-2""",KRÜ,Attackers,Elimination
3Ascent,3,"""0-3""",KRÜ,Attackers,Elimination
3Ascent,4,"""0-4""",KRÜ,Attackers,Elimination
3Ascent,5,"""0-5""",KRÜ,Attackers,Spike Detonation
3Ascent,6,"""0-6""",KRÜ,Attackers,Spike Detonation
3Ascent,7,"""0-7""",KRÜ,Attackers,Spike Detonation
3Ascent,8,"""0-8""",KRÜ,Attackers,Spike Detonation
3Ascent,9,"""1-8""",LOUD,Defenders,Defuse
3Ascent,10,"""2-8""",LOUD,Defenders,Elimination
3Ascent,11,"""3-8""",LOUD,Defenders,Elimination
3Ascent,12,"""4-8""",LOUD,Defenders,Elimination
3Ascent,13,"""4-9""",LOUD,Defenders,Elimination
3Ascent,14,"""4-10""",LOUD,Defenders,Defuse
3Ascent,15,"""4-11""",LOUD,Defenders,Defuse
3Ascent,16,"""4-12""",LOUD,Defenders,Elimination
3Ascent,17,"""4-13""",LOUD,Defenders,Elimination
3Ascent,18,"""""",,,
3Ascent,19,"""""",,,
3Ascent,20,"""""",,,
3Ascent,21,"""""",,,
3Ascent,22,"""""",,,
3Ascent,23,"""""",,,
3Ascent,24,"""""",,,
