,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
brawk NRG,,,1 Round 16 Virtyy pANcada lukxo,3 Round 7 cauanzin pANcada lukxo RobbieBk Round 9 cauanzin Virtyy RobbieBk lukxo Round 20 lukxo cauanzin RobbieBk pANcada,,1 Round 7 RobbieBk,,,,,76,1,0
s0m NRG,,4 Round 3 Virtyy pANcada Round 12 Virtyy pANcada Round 15 lukxo cauanzin Round 21 lukxo RobbieBk,1 Round 5 RobbieBk Virtyy lukxo,,,,,,,,73,2,0
mada NRG,,,3 Round 15 Virtyy pANcada RobbieBk Round 19 lukxo cauanzin pANcada Round 22 cauanzin Virtyy lukxo,,,,,,,,50,1,0
skuba NRG,,1 Round 22 RobbieBk pANcada,3 Round 10 Virtyy pANcada cauanzin Round 14 Virtyy lukxo pANcada Round 21 Virtyy cauanzin pANcada,,,,,,,,67,1,0
Ethan NRG,,,1 Round 4 Virtyy pANcada RobbieBk,,,,,,,,43,5,0
pANcada LOUD,,3 Round 3 mada skuba Round 6 mada brawk Round 12 mada Ethan,,,,,,,,,32,0,0
Virtyy LOUD,,4 Round 1 brawk Ethan Round 7 mada Ethan Round 12 skuba brawk Round 13 brawk s0m,1 Round 2 s0m brawk Ethan,,,,,,,,47,0,1
RobbieBk LOUD,,1 Round 11 brawk Ethan,,,,,,,,,25,1,1
cauanzin LOUD,,4 Round 2 mada skuba Round 11 mada s0m Round 13 mada Ethan Round 19 brawk s0m,1 Round 14 mada skuba s0m,,,1 Round 12 s0m,1 Round 14 s0m skuba,,,,61,3,1
lukxo LOUD,,2 Round 18 s0m Ethan Round 22 brawk Ethan,,,,,,,,,43,0,0
