Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Lotus,1,"""0-1""",SEN,Defenders,Defuse
3Lotus,2,"""0-2""",SEN,Defenders,Elimination
3Lotus,3,"""0-3""",SEN,Defenders,Time Expired
3Lotus,4,"""1-3""",G2,Attackers,Elimination
3Lotus,5,"""1-4""",SEN,Defenders,Time Expired
3Lotus,6,"""2-4""",G2,Attackers,Elimination
3Lotus,7,"""3-4""",G2,Attackers,Elimination
3Lotus,8,"""3-5""",SEN,Defenders,Defuse
3Lotus,9,"""3-6""",SEN,Defenders,Elimination
3Lotus,10,"""3-7""",SEN,Defenders,Elimination
3Lotus,11,"""4-7""",G2,Attackers,Elimination
3Lotus,12,"""4-8""",SEN,Defenders,Defuse
3Lotus,13,"""4-9""",G2,Attackers,Elimination
3Lotus,14,"""4-10""",G2,Attackers,Elimination
3Lotus,15,"""5-10""",SEN,Defenders,Elimination
3Lotus,16,"""6-10""",SEN,Defenders,Defuse
3Lotus,17,"""7-10""",SEN,Defenders,Elimination
3Lotus,18,"""8-10""",SEN,Defenders,Defuse
3Lotus,19,"""9-10""",SEN,Defenders,Elimination
3Lotus,20,"""9-11""",G2,Attackers,Elimination
3Lotus,21,"""10-11""",SEN,Defenders,Defuse
3Lotus,22,"""11-11""",SEN,Defenders,Elimination
3Lotus,23,"""12-11""",SEN,Defenders,Defuse
3Lotus,24,"""12-12""",G2,Attackers,Elimination
3Lotus,25,"""13-12""",G2,Attackers,Elimination
3Lotus,26,"""14-12""",SEN,Defenders,Defuse
