Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Corrode,1,"""1-0""",LEV,Defenders,Elimination
1Corrode,2,"""2-0""",LEV,Defenders,Defuse
1Corrode,3,"""2-1""",C9,Attackers,Spike Detonation
1Corrode,4,"""3-1""",LEV,Defenders,Time Expired
1Corrode,5,"""4-1""",LEV,Defenders,Defuse
1Corrode,6,"""5-1""",LEV,Defenders,Defuse
1Corrode,7,"""6-1""",LEV,Defenders,Elimination
1Corrode,8,"""6-2""",C9,Attackers,Elimination
1Corrode,9,"""7-2""",LEV,Defenders,Defuse
1Corrode,10,"""8-2""",LEV,Defenders,Elimination
1Corrode,11,"""8-3""",C9,Attackers,Spike Detonation
1Corrode,12,"""8-4""",C9,Attackers,Elimination
1Corrode,13,"""8-5""",LEV,Defenders,Elimination
1Corrode,14,"""8-6""",LEV,Defenders,Defuse
1Corrode,15,"""8-7""",LEV,Defenders,Defuse
1Corrode,16,"""8-8""",LEV,Defenders,Defuse
1Corrode,17,"""8-9""",LEV,Defenders,Defuse
1Corrode,18,"""8-10""",LEV,Defenders,Elimination
1Corrode,19,"""8-11""",LEV,Defenders,Defuse
1Corrode,20,"""9-11""",C9,Attackers,Spike Detonation
1Corrode,21,"""10-11""",C9,Attackers,Elimination
1Corrode,22,"""10-12""",LEV,Defenders,Defuse
1Corrode,23,"""10-13""",LEV,Defenders,Elimination
1Corrode,24,"""""",,,
