Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
brawk,NRG,Map_1_1Ascent,All,Sova,1.68,306,16,7,5,+9,80%,240,28%,2,0,+2
mada,NRG,Map_1_1Ascent,All,Jett,1.41,243,14,7,1,+7,93%,150,23%,6,0,+6
Ethan,NRG,Map_1_1Ascent,All,Kayo,1.38,214,13,7,5,+6,93%,134,25%,0,1,-1
s0m,NRG,Map_1_1Ascent,All,Omen,1.28,234,15,8,1,+7,80%,132,15%,2,1,+1
skuba,NRG,Map_1_1Ascent,All,Vyse,1.13,169,9,7,4,+2,80%,135,23%,1,2,-1
Okeanos,LEV,Map_1_1Ascent,All,Omen,0.98,226,12,13,4,-1,67%,151,44%,0,0,0
tex,LEV,Map_1_1Ascent,All,Chamber,0.59,117,7,13,0,-6,47%,81,36%,0,2,-2
Sato,LEV,Map_1_1Ascent,All,Yoru,0.53,189,9,14,2,-5,67%,120,35%,3,4,-1
C0M,LEV,Map_1_1Ascent,All,Sova,0.52,119,5,14,5,-9,60%,77,13%,0,2,-2
kiNgg,LEV,Map_1_1Ascent,All,Vyse,0.32,81,3,13,3,-10,33%,58,26%,1,3,-2
brawk,NRG,Map_1_1Ascent,Attack,Sova,2.80,489,5,1,3,+4,100%,374,60%,1,0,+1
mada,NRG,Map_1_1Ascent,Attack,Jett,0.51,62,1,2,1,-1,67%,37,0%,0,0,0
Ethan,NRG,Map_1_1Ascent,Attack,Kayo,2.50,411,5,1,1,+4,100%,274,40%,0,0,0
s0m,NRG,Map_1_1Ascent,Attack,Omen,1.03,224,3,2,0,+1,100%,107,50%,1,0,+1
skuba,NRG,Map_1_1Ascent,Attack,Vyse,0.42,69,1,2,1,-1,67%,58,0%,0,1,-1
Okeanos,LEV,Map_1_1Ascent,Attack,Omen,1.02,234,10,10,1,0,58%,161,50%,0,0,0
tex,LEV,Map_1_1Ascent,Attack,Chamber,0.62,122,6,10,0,-4,50%,74,25%,0,1,-1
Sato,LEV,Map_1_1Ascent,Attack,Yoru,0.47,179,7,11,1,-4,67%,117,37%,3,4,-1
C0M,LEV,Map_1_1Ascent,Attack,Sova,0.43,101,3,11,3,-8,58%,68,7%,0,2,-2
kiNgg,LEV,Map_1_1Ascent,Attack,Vyse,0.32,61,2,10,2,-8,33%,44,18%,0,2,-2
brawk,NRG,Map_1_1Ascent,Defend,Sova,1.40,261,11,6,2,+5,75%,206,22%,1,0,+1
mada,NRG,Map_1_1Ascent,Defend,Jett,1.63,289,13,5,0,+8,100%,178,28%,6,0,+6
Ethan,NRG,Map_1_1Ascent,Defend,Kayo,1.10,166,8,6,4,+2,92%,99,18%,0,1,-1
s0m,NRG,Map_1_1Ascent,Defend,Omen,1.34,237,12,6,1,+6,75%,138,11%,1,1,0
skuba,NRG,Map_1_1Ascent,Defend,Vyse,1.31,194,8,5,3,+3,83%,155,25%,1,1,0
Okeanos,LEV,Map_1_1Ascent,Defend,Omen,0.80,198,2,3,3,-1,100%,113,29%,0,0,0
tex,LEV,Map_1_1Ascent,Defend,Chamber,0.49,98,1,3,0,-2,33%,105,67%,0,1,-1
Sato,LEV,Map_1_1Ascent,Defend,Yoru,0.76,232,2,3,1,-1,67%,135,29%,0,0,0
C0M,LEV,Map_1_1Ascent,Defend,Sova,0.88,194,2,3,2,-1,67%,114,20%,0,0,0
kiNgg,LEV,Map_1_1Ascent,Defend,Vyse,0.32,162,1,3,1,-2,33%,112,38%,1,1,0
