Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
johnqt,SEN,Map_4_4Corrode,All,Viper,1.22,198,17,11,4,+6,71%,114,40%,0,1,-1
bang,SEN,Map_4_4Corrode,All,Omen,0.95,166,12,14,6,-2,62%,122,33%,0,1,-1
zekken,SEN,Map_4_4Corrode,All,Neon,0.74,196,13,18,3,-5,67%,144,31%,6,7,-1
N4RRATE,SEN,Map_4_4Corrode,All,Fade,0.60,110,7,15,6,-8,67%,73,11%,1,3,-2
Zellsis,SEN,Map_4_4Corrode,All,Vyse,0.58,164,11,17,7,-6,71%,107,26%,0,2,-2
brawk,NRG,Map_4_4Corrode,All,Sova,1.38,275,19,12,6,+7,76%,171,27%,1,0,+1
skuba,NRG,Map_4_4Corrode,All,Viper,1.15,184,14,9,6,+5,81%,107,36%,3,1,+2
mada,NRG,Map_4_4Corrode,All,Waylay,1.13,224,17,13,6,+4,81%,142,35%,5,3,+2
Ethan,NRG,Map_4_4Corrode,All,Kayo,1.06,177,12,12,9,0,71%,132,26%,2,1,+1
s0m,NRG,Map_4_4Corrode,All,Omen,0.69,165,13,14,6,-1,81%,99,22%,3,2,+1
johnqt,SEN,Map_4_4Corrode,Attack,Viper,1.73,255,10,3,1,+7,89%,157,53%,0,1,-1
bang,SEN,Map_4_4Corrode,Attack,Omen,1.99,304,11,3,3,+8,89%,200,30%,0,0,0
zekken,SEN,Map_4_4Corrode,Attack,Neon,0.90,205,6,6,2,0,78%,151,29%,3,3,0
N4RRATE,SEN,Map_4_4Corrode,Attack,Fade,0.62,86,3,5,2,-2,89%,56,10%,0,1,-1
Zellsis,SEN,Map_4_4Corrode,Attack,Vyse,0.45,162,5,7,6,-2,78%,103,18%,0,1,-1
brawk,NRG,Map_4_4Corrode,Attack,Sova,1.62,301,13,5,2,+8,92%,176,20%,1,0,+1
skuba,NRG,Map_4_4Corrode,Attack,Viper,1.54,243,10,2,5,+8,92%,141,47%,2,1,+1
mada,NRG,Map_4_4Corrode,Attack,Waylay,1.10,219,10,7,3,+3,92%,138,50%,3,2,+1
Ethan,NRG,Map_4_4Corrode,Attack,Kayo,1.65,257,10,5,7,+5,100%,197,26%,1,0,+1
s0m,NRG,Map_4_4Corrode,Attack,Omen,0.96,171,8,6,4,+2,92%,103,33%,1,1,0
johnqt,SEN,Map_4_4Corrode,Defend,Viper,0.84,156,7,8,3,-1,58%,83,30%,0,0,0
bang,SEN,Map_4_4Corrode,Defend,Omen,0.17,63,1,11,3,-10,42%,63,42%,0,1,-1
zekken,SEN,Map_4_4Corrode,Defend,Neon,0.62,190,7,12,1,-5,58%,139,32%,3,4,-1
N4RRATE,SEN,Map_4_4Corrode,Defend,Fade,0.59,129,4,10,4,-6,50%,86,12%,1,2,-1
Zellsis,SEN,Map_4_4Corrode,Defend,Vyse,0.67,167,6,10,1,-4,67%,110,33%,0,1,-1
brawk,NRG,Map_4_4Corrode,Defend,Sova,1.06,240,6,7,4,-1,56%,164,47%,0,0,0
skuba,NRG,Map_4_4Corrode,Defend,Viper,0.62,106,4,7,1,-3,67%,63,18%,1,0,+1
mada,NRG,Map_4_4Corrode,Defend,Waylay,1.17,232,7,6,3,+1,67%,148,20%,2,1,+1
Ethan,NRG,Map_4_4Corrode,Defend,Kayo,0.28,71,2,7,2,-5,33%,47,22%,1,1,0
s0m,NRG,Map_4_4Corrode,Defend,Omen,0.34,158,5,8,2,-3,67%,93,14%,2,1,+1
