Map,Round Number,Score,Winning Team,Winning Side,Win Method
4Corrode,1,"""0-1""",NRG,Attackers,Spike Detonation
4Corrode,2,"""0-2""",NRG,Attackers,Elimination
4Corrode,3,"""0-3""",NRG,Attackers,Spike Detonation
4Corrode,4,"""1-3""",SEN,Defenders,Elimination
4Corrode,5,"""1-4""",NRG,Attackers,Elimination
4Corrode,6,"""1-5""",NRG,Attackers,Spike Detonation
4Corrode,7,"""1-6""",NRG,Attackers,Spike Detonation
4Corrode,8,"""1-7""",NRG,Attackers,Spike Detonation
4Corrode,9,"""1-8""",NRG,Attackers,Elimination
4Corrode,10,"""1-9""",NRG,Attackers,Elimination
4Corrode,11,"""1-10""",NRG,Attackers,Elimination
4Corrode,12,"""1-11""",NRG,Attackers,Elimination
4Corrode,13,"""2-11""",NRG,Attackers,Spike Detonation
4Corrode,14,"""3-11""",NRG,Attackers,Spike Detonation
4Corrode,15,"""4-11""",NRG,Attackers,Elimination
4Corrode,16,"""5-11""",NRG,Attackers,Elimination
4Corrode,17,"""6-11""",NRG,Attackers,Spike Detonation
4Corrode,18,"""6-12""",SEN,Defenders,Time Expired
4Corrode,19,"""7-12""",NRG,Attackers,Elimination
4Corrode,20,"""8-12""",NRG,Attackers,Elimination
4Corrode,21,"""8-13""",SEN,Defenders,Defuse
4Corrode,22,"""""",,,
4Corrode,23,"""""",,,
4Corrode,24,"""""",,,
