Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Bind,1,"""0-1""",AG,Defenders,Elimination
2Bind,2,"""0-2""",AG,Defenders,Defuse
2Bind,3,"""0-3""",AG,Defenders,Elimination
2Bind,4,"""0-4""",AG,Defenders,Defuse
2Bind,5,"""0-5""",AG,Defenders,Elimination
2Bind,6,"""1-5""",NOVA,Attackers,Elimination
2Bind,7,"""1-6""",AG,Defenders,Elimination
2Bind,8,"""1-7""",AG,Defenders,Elimination
2Bind,9,"""1-8""",AG,Defenders,Elimination
2Bind,10,"""1-9""",AG,Defenders,Elimination
2Bind,11,"""2-9""",NOVA,Attackers,Elimination
2Bind,12,"""2-10""",AG,Defenders,Time Expired
2Bind,13,"""3-10""",AG,Defenders,Defuse
2Bind,14,"""3-11""",NOVA,Attackers,Elimination
2Bind,15,"""3-12""",NOVA,Attackers,Elimination
2Bind,16,"""3-13""",NOVA,Attackers,Elimination
2Bind,17,"""""",,,
2Bind,18,"""""",,,
2Bind,19,"""""",,,
2Bind,20,"""""",,,
2Bind,21,"""""",,,
2Bind,22,"""""",,,
2Bind,23,"""""",,,
2Bind,24,"""""",,,
