Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Flex1n,DRG,All_Maps,All,"Omen, Astra",,190,23,29,18,-6,,,,,,
vo0kashu,DRG,All_Maps,All,Cypher,,181,22,29,7,-7,,,,,,
SpiritZ1,DRG,All_Maps,All,"Sova, Fade",,153,18,33,7,-15,,,,,,
TvirusLuke,DRG,All_Maps,All,Jett,,147,21,33,2,-12,,,,,,
Nicc,DRG,All_Maps,All,"Breach, Kayo",,108,10,31,18,-21,,,,,,
ZmjjKK,EDG,All_Maps,All,"Jett, Neon",,291,34,27,14,+7,,,,,,
Smoggy,EDG,All_Maps,All,"Omen, Astra",,284,38,14,19,+24,,,,,,
nobody,EDG,All_Maps,All,Sova,,251,36,16,8,+20,,,,,,
CHICHOO,EDG,All_Maps,All,Cypher,,220,27,17,8,+10,,,,,,
S1Mon,EDG,All_Maps,All,"Breach, Kayo",,157,20,20,28,0,,,,,,
Flex1n,DRG,All_Maps,Attack,"Omen, Astra",,,,,,,,,
vo0kashu,DRG,All_Maps,Attack,Cypher,,,,,,,,,
SpiritZ1,DRG,All_Maps,Attack,"Sova, Fade",,,,,,,,,
TvirusLuke,DRG,All_Maps,Attack,Jett,,,,,,,,,
Nicc,DRG,All_Maps,Attack,"Breach, Kayo",,,,,,,,,
ZmjjKK,EDG,All_Maps,Attack,"Jett, Neon",,,,,,,,,
Smoggy,EDG,All_Maps,Attack,"Omen, Astra",,,,,,,,,
nobody,EDG,All_Maps,Attack,Sova,,,,,,,,,
CHICHOO,EDG,All_Maps,Attack,Cypher,,,,,,,,,
S1Mon,EDG,All_Maps,Attack,"Breach, Kayo",,,,,,,,,
Flex1n,DRG,All_Maps,Defend,"Omen, Astra",,,,,,,,,
vo0kashu,DRG,All_Maps,Defend,Cypher,,,,,,,,,
SpiritZ1,DRG,All_Maps,Defend,"Sova, Fade",,,,,,,,,
TvirusLuke,DRG,All_Maps,Defend,Jett,,,,,,,,,
Nicc,DRG,All_Maps,Defend,"Breach, Kayo",,,,,,,,,
ZmjjKK,EDG,All_Maps,Defend,"Jett, Neon",,,,,,,,,
Smoggy,EDG,All_Maps,Defend,"Omen, Astra",,,,,,,,,
nobody,EDG,All_Maps,Defend,Sova,,,,,,,,,
CHICHOO,EDG,All_Maps,Defend,Cypher,,,,,,,,,
S1Mon,EDG,All_Maps,Defend,"Breach, Kayo",,,,,,,,,
