Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Lotus,1,"""1-0""",EDG,Defenders,Elimination
1Lotus,2,"""2-0""",EDG,Defenders,Elimination
1Lotus,3,"""3-0""",EDG,Defenders,Defuse
1Lotus,4,"""4-0""",EDG,Defenders,Defuse
1Lotus,5,"""4-1""",XLG,Attackers,Elimination
1Lotus,6,"""4-2""",XLG,Attackers,Spike Detonation
1Lotus,7,"""4-3""",XLG,Attackers,Spike Detonation
1Lotus,8,"""4-4""",XLG,Attackers,Elimination
1Lotus,9,"""5-4""",EDG,Defenders,Elimination
1Lotus,10,"""5-5""",XLG,Attackers,Elimination
1Lotus,11,"""5-6""",XLG,Attackers,Spike Detonation
1Lotus,12,"""6-6""",EDG,Defenders,Defuse
1Lotus,13,"""7-6""",XLG,Attackers,Elimination
1Lotus,14,"""8-6""",XLG,Attackers,Elimination
1Lotus,15,"""9-6""",XLG,Attackers,Elimination
1Lotus,16,"""10-6""",XLG,Attackers,Elimination
1Lotus,17,"""10-7""",EDG,Defenders,Elimination
1Lotus,18,"""11-7""",XLG,Attackers,Elimination
1Lotus,19,"""11-8""",EDG,Defenders,Elimination
1Lotus,20,"""11-9""",EDG,Defenders,Elimination
1Lotus,21,"""11-10""",EDG,Defenders,Defuse
1Lotus,22,"""11-11""",EDG,Defenders,Elimination
1Lotus,23,"""11-12""",EDG,Defenders,Elimination
1Lotus,24,"""12-12""",XLG,Attackers,Elimination
1Lotus,25,"""12-13""",XLG,Attackers,Elimination
1Lotus,26,"""12-14""",EDG,Defenders,Defuse
1Lotus,27,"""""",,,
