Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Pearl,1,"""0-1""",FPX,Defenders,Elimination
3Pearl,2,"""1-1""",TEC,Attackers,Elimination
3Pearl,3,"""2-1""",TEC,Attackers,Elimination
3Pearl,4,"""3-1""",TEC,Attackers,Spike Detonation
3Pearl,5,"""4-1""",TEC,Attackers,Elimination
3Pearl,6,"""5-1""",TEC,Attackers,Elimination
3Pearl,7,"""6-1""",TEC,Attackers,Spike Detonation
3Pearl,8,"""7-1""",TEC,Attackers,Spike Detonation
3Pearl,9,"""7-2""",FPX,Defenders,Defuse
3Pearl,10,"""7-3""",FPX,Defenders,Defuse
3Pearl,11,"""8-3""",TEC,Attackers,Elimination
3Pearl,12,"""9-3""",TEC,Attackers,Elimination
3Pearl,13,"""10-3""",FPX,Defenders,Elimination
3Pearl,14,"""11-3""",FPX,Defenders,Elimination
3Pearl,15,"""11-4""",TEC,Attackers,Elimination
3Pearl,16,"""12-4""",FPX,Defenders,Defuse
3Pearl,17,"""12-5""",TEC,Attackers,Elimination
3Pearl,18,"""12-6""",TEC,Attackers,Elimination
3Pearl,19,"""13-6""",FPX,Defenders,Elimination
3Pearl,20,"""""",,,
3Pearl,21,"""""",,,
3Pearl,22,"""""",,,
3Pearl,23,"""""",,,
3Pearl,24,"""""",,,
