Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
stew,JDG,All_Maps,All,"Jett, Neon",,240,58,46,13,+12,,,,,,
Z1yan,JDG,All_Maps,All,"Astra, Cypher",,224,52,50,14,+2,,,,,,
jkuro,JDG,All_Maps,All,"Yoru, Omen, Brimstone",,204,43,54,20,-11,,,,,,
Babyblue,JDG,All_Maps,All,"Sova, Deadlock",,174,40,49,15,-9,,,,,,
MrCANI,JDG,All_Maps,All,"Omen, Breach, Skye",,110,26,50,16,-24,,,,,,
SpiritZ1,DRG,All_Maps,All,"Sova, Deadlock",,259,62,40,19,+22,,,,,,
TvirusLuke,DRG,All_Maps,All,"Jett, Raze",,215,49,47,13,+2,,,,,,
vo0kashu,DRG,All_Maps,All,"Omen, Cypher, Vyse",,212,50,43,11,+7,,,,,,
Nicc,DRG,All_Maps,All,"Kayo, Breach",,192,43,41,42,+2,,,,,,
Flex1n,DRG,All_Maps,All,"Astra, Omen, Brimstone",,191,45,49,19,-4,,,,,,
stew,JDG,All_Maps,Attack,"Jett, Neon",,,,,,,,,
Z1yan,JDG,All_Maps,Attack,"Astra, Cypher",,,,,,,,,
jkuro,JDG,All_Maps,Attack,"Yoru, Omen, Brimstone",,,,,,,,,
Babyblue,JDG,All_Maps,Attack,"Sova, Deadlock",,,,,,,,,
MrCANI,JDG,All_Maps,Attack,"Omen, Breach, Skye",,,,,,,,,
SpiritZ1,DRG,All_Maps,Attack,"Sova, Deadlock",,,,,,,,,
TvirusLuke,DRG,All_Maps,Attack,"Jett, Raze",,,,,,,,,
vo0kashu,DRG,All_Maps,Attack,"Omen, Cypher, Vyse",,,,,,,,,
Nicc,DRG,All_Maps,Attack,"Kayo, Breach",,,,,,,,,
Flex1n,DRG,All_Maps,Attack,"Astra, Omen, Brimstone",,,,,,,,,
stew,JDG,All_Maps,Defend,"Jett, Neon",,,,,,,,,
Z1yan,JDG,All_Maps,Defend,"Astra, Cypher",,,,,,,,,
jkuro,JDG,All_Maps,Defend,"Yoru, Omen, Brimstone",,,,,,,,,
Babyblue,JDG,All_Maps,Defend,"Sova, Deadlock",,,,,,,,,
MrCANI,JDG,All_Maps,Defend,"Omen, Breach, Skye",,,,,,,,,
SpiritZ1,DRG,All_Maps,Defend,"Sova, Deadlock",,,,,,,,,
TvirusLuke,DRG,All_Maps,Defend,"Jett, Raze",,,,,,,,,
vo0kashu,DRG,All_Maps,Defend,"Omen, Cypher, Vyse",,,,,,,,,
Nicc,DRG,All_Maps,Defend,"Kayo, Breach",,,,,,,,,
Flex1n,DRG,All_Maps,Defend,"Astra, Omen, Brimstone",,,,,,,,,
