Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Abyss,1,"""0-1""",JDG,Defenders,Elimination
1Abyss,2,"""0-2""",JDG,Defenders,Defuse
1Abyss,3,"""0-3""",JDG,Defenders,Defuse
1Abyss,4,"""0-4""",JDG,Defenders,Elimination
1Abyss,5,"""1-4""",DRG,Attackers,Elimination
1Abyss,6,"""1-5""",JDG,Defenders,Defuse
1Abyss,7,"""1-6""",JDG,Defenders,Elimination
1Abyss,8,"""1-7""",JDG,Defenders,Defuse
1Abyss,9,"""1-8""",JDG,Defenders,Elimination
1Abyss,10,"""1-9""",JDG,Defenders,Elimination
1Abyss,11,"""1-10""",JDG,Defenders,Elimination
1Abyss,12,"""1-11""",JDG,Defenders,Elimination
1Abyss,13,"""2-11""",JDG,Defenders,Defuse
1Abyss,14,"""2-12""",DRG,Attackers,Elimination
1Abyss,15,"""3-12""",JDG,Defenders,Defuse
1Abyss,16,"""4-12""",JDG,Defenders,Defuse
1Abyss,17,"""5-12""",JDG,Defenders,Time Expired
1Abyss,18,"""5-13""",DRG,Attackers,Elimination
1Abyss,19,"""""",,,
1Abyss,20,"""""",,,
1Abyss,21,"""""",,,
1Abyss,22,"""""",,,
1Abyss,23,"""""",,,
1Abyss,24,"""""",,,
