Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
K1ra,AG,Map_1_1Pearl,All,Astra,1.12,249,15,15,5,0,82%,139,22%,2,1,+1
player,AG,Map_1_1Pearl,All,Yoru,0.82,205,12,15,5,-3,65%,123,33%,2,1,+1
HanChe,AG,Map_1_1Pearl,All,Killjoy,0.77,128,8,12,1,-4,59%,93,36%,1,0,+1
deLb,AG,Map_1_1Pearl,All,Neon,0.34,94,6,16,2,-10,35%,65,19%,1,5,-4
Lsn,AG,Map_1_1Pearl,All,Sova,0.24,82,4,16,6,-12,53%,60,17%,0,4,-4
whzy,BLG,Map_1_1Pearl,All,Yoru,1.82,331,22,9,5,+13,94%,228,32%,3,1,+2
Knight,BLG,Map_1_1Pearl,All,Fade,1.56,283,18,9,8,+9,82%,170,25%,3,0,+3
Levius,BLG,Map_1_1Pearl,All,Vyse,1.28,153,10,7,10,+3,82%,109,39%,0,1,-1
nephh,BLG,Map_1_1Pearl,All,Tejo,1.23,283,16,11,6,+5,88%,178,24%,3,1,+2
rushia,BLG,Map_1_1Pearl,All,Astra,0.96,159,8,9,11,-1,82%,104,17%,2,3,-1
K1ra,AG,Map_1_1Pearl,Attack,Astra,1.39,298,13,10,3,+3,75%,160,27%,2,1,+1
player,AG,Map_1_1Pearl,Attack,Yoru,0.44,125,5,11,2,-6,58%,76,41%,1,1,0
HanChe,AG,Map_1_1Pearl,Attack,Killjoy,0.65,85,4,8,1,-4,58%,58,30%,0,0,0
deLb,AG,Map_1_1Pearl,Attack,Neon,0.04,68,2,12,2,-10,33%,58,15%,0,4,-4
Lsn,AG,Map_1_1Pearl,Attack,Sova,0.41,97,4,11,3,-7,50%,67,25%,0,3,-3
whzy,BLG,Map_1_1Pearl,Attack,Yoru,2.24,440,8,3,2,+5,100%,293,42%,0,0,0
Knight,BLG,Map_1_1Pearl,Attack,Fade,2.09,444,9,3,1,+6,80%,234,23%,2,0,+2
Levius,BLG,Map_1_1Pearl,Attack,Vyse,1.22,172,3,3,3,0,80%,134,38%,0,0,0
nephh,BLG,Map_1_1Pearl,Attack,Tejo,0.03,42,0,4,1,-4,80%,37,0%,0,1,-1
rushia,BLG,Map_1_1Pearl,Attack,Astra,0.38,113,2,4,1,-2,80%,84,29%,0,2,-2
K1ra,AG,Map_1_1Pearl,Defend,Astra,0.49,131,2,5,2,-3,100%,89,9%,0,0,0
player,AG,Map_1_1Pearl,Defend,Yoru,1.74,397,7,4,3,+3,80%,236,23%,1,0,+1
HanChe,AG,Map_1_1Pearl,Defend,Killjoy,1.05,231,4,4,0,0,60%,177,42%,1,0,+1
deLb,AG,Map_1_1Pearl,Defend,Neon,1.10,156,4,4,0,0,40%,82,25%,1,1,0
Lsn,AG,Map_1_1Pearl,Defend,Sova,0.02,46,0,5,3,-5,60%,43,0%,0,1,-1
whzy,BLG,Map_1_1Pearl,Defend,Yoru,1.65,286,14,6,3,+8,92%,201,26%,3,1,+2
Knight,BLG,Map_1_1Pearl,Defend,Fade,1.34,216,9,6,7,+3,83%,143,27%,1,0,+1
Levius,BLG,Map_1_1Pearl,Defend,Vyse,1.30,145,7,4,7,+3,83%,99,40%,0,1,-1
nephh,BLG,Map_1_1Pearl,Defend,Tejo,1.76,383,16,7,5,+9,92%,237,26%,3,0,+3
rushia,BLG,Map_1_1Pearl,Defend,Astra,1.21,178,6,5,10,+1,83%,112,15%,2,1,+1
