Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Split,1,"""1-0""",FPX,Attackers,Elimination
1Split,2,"""2-0""",FPX,Attackers,Elimination
1Split,3,"""2-1""",EDG,Defenders,Defuse
1Split,4,"""3-1""",FPX,Attackers,Elimination
1Split,5,"""4-1""",FPX,Attackers,Spike Detonation
1Split,6,"""4-2""",EDG,Defenders,Defuse
1Split,7,"""4-3""",EDG,Defenders,Defuse
1Split,8,"""4-4""",EDG,Defenders,Time Expired
1Split,9,"""4-5""",EDG,Defenders,Time Expired
1Split,10,"""5-5""",FPX,Attackers,Elimination
1Split,11,"""6-5""",FPX,Attackers,Elimination
1Split,12,"""7-5""",FPX,Attackers,Elimination
1Split,13,"""7-6""",FPX,Attackers,Elimination
1Split,14,"""7-7""",FPX,Attackers,Elimination
1Split,15,"""7-8""",FPX,Attackers,Elimination
1Split,16,"""8-8""",EDG,Defenders,Defuse
1Split,17,"""9-8""",EDG,Defenders,Defuse
1Split,18,"""10-8""",EDG,Defenders,Defuse
1Split,19,"""10-9""",FPX,Attackers,Elimination
1Split,20,"""11-9""",EDG,Defenders,Elimination
1Split,21,"""12-9""",EDG,Defenders,Elimination
1Split,22,"""13-9""",EDG,Defenders,Elimination
1Split,23,"""""",,,
1Split,24,"""""",,,
