Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Ascent,1,"""0-1""",DRG,Attackers,Elimination
1Ascent,2,"""0-2""",DRG,Attackers,Elimination
1Ascent,3,"""1-2""",FPX,Defenders,Elimination
1Ascent,4,"""2-2""",FPX,Defenders,Elimination
1Ascent,5,"""2-3""",DRG,Attackers,Elimination
1Ascent,6,"""3-3""",FPX,Defenders,Elimination
1Ascent,7,"""4-3""",FPX,Defenders,Elimination
1Ascent,8,"""5-3""",FPX,Defenders,Elimination
1Ascent,9,"""6-3""",FPX,Defenders,Elimination
1Ascent,10,"""6-4""",DRG,Attackers,Spike Detonation
1Ascent,11,"""6-5""",DRG,Attackers,Elimination
1Ascent,12,"""7-5""",FPX,Defenders,Elimination
1Ascent,13,"""8-5""",DRG,Attackers,Elimination
1Ascent,14,"""9-5""",DRG,Attackers,Elimination
1Ascent,15,"""9-6""",FPX,Defenders,Elimination
1Ascent,16,"""9-7""",FPX,Defenders,Elimination
1Ascent,17,"""10-7""",DRG,Attackers,Elimination
1Ascent,18,"""10-8""",FPX,Defenders,Elimination
1Ascent,19,"""10-9""",FPX,Defenders,Time Expired
1Ascent,20,"""10-10""",FPX,Defenders,Defuse
1Ascent,21,"""11-10""",DRG,Attackers,Elimination
1Ascent,22,"""11-11""",FPX,Defenders,Defuse
1Ascent,23,"""11-12""",FPX,Defenders,Elimination
1Ascent,24,"""11-13""",FPX,Defenders,Elimination
