Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Ninebody,TYL,Map_2_2Haven,All,Cypher,,252,16,14,3,+2,,,,,,
waituu,TYL,Map_2_2Haven,All,Omen,,188,11,18,8,-7,,,,,,
slowly,TYL,Map_2_2Haven,All,Breach,,149,9,15,11,-6,,,,,,
zjc,TYL,Map_2_2Haven,All,Sova,,145,9,17,5,-8,,,,,,
5CM,TYL,Map_2_2Haven,All,Neon,,143,10,14,2,-4,,,,,,
ZmjjKK,EDG,Map_2_2Haven,All,Jett,,322,24,12,3,+12,,,,,,
Smoggy,EDG,Map_2_2Haven,All,Omen,,284,21,13,4,+8,,,,,,
CHICHOO,EDG,Map_2_2Haven,All,Cypher,,239,17,11,5,+6,,,,,,
nobody,EDG,Map_2_2Haven,All,Sova,,169,12,8,7,+4,,,,,,
S1Mon,EDG,Map_2_2Haven,All,Breach,,78,4,11,15,-7,,,,,,
Ninebody,TYL,Map_2_2Haven,Attack,Cypher,,,,,,,,,
waituu,TYL,Map_2_2Haven,Attack,Omen,,,,,,,,,
slowly,TYL,Map_2_2Haven,Attack,Breach,,,,,,,,,
zjc,TYL,Map_2_2Haven,Attack,Sova,,,,,,,,,
5CM,TYL,Map_2_2Haven,Attack,Neon,,,,,,,,,
ZmjjKK,EDG,Map_2_2Haven,Attack,Jett,,,,,,,,,
Smoggy,EDG,Map_2_2Haven,Attack,Omen,,,,,,,,,
CHICHOO,EDG,Map_2_2Haven,Attack,Cypher,,,,,,,,,
nobody,EDG,Map_2_2Haven,Attack,Sova,,,,,,,,,
S1Mon,EDG,Map_2_2Haven,Attack,Breach,,,,,,,,,
Ninebody,TYL,Map_2_2Haven,Defend,Cypher,,,,,,,,,
waituu,TYL,Map_2_2Haven,Defend,Omen,,,,,,,,,
slowly,TYL,Map_2_2Haven,Defend,Breach,,,,,,,,,
zjc,TYL,Map_2_2Haven,Defend,Sova,,,,,,,,,
5CM,TYL,Map_2_2Haven,Defend,Neon,,,,,,,,,
ZmjjKK,EDG,Map_2_2Haven,Defend,Jett,,,,,,,,,
Smoggy,EDG,Map_2_2Haven,Defend,Omen,,,,,,,,,
CHICHOO,EDG,Map_2_2Haven,Defend,Cypher,,,,,,,,,
nobody,EDG,Map_2_2Haven,Defend,Sova,,,,,,,,,
S1Mon,EDG,Map_2_2Haven,Defend,Breach,,,,,,,,,
