Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Fracture,1,"""1-0""",TYL,Defenders,Defuse
1Fracture,2,"""1-1""",EDG,Attackers,Elimination
1Fracture,3,"""1-2""",EDG,Attackers,Elimination
1Fracture,4,"""2-2""",TYL,Defenders,Defuse
1Fracture,5,"""2-3""",EDG,Attackers,Elimination
1Fracture,6,"""2-4""",EDG,Attackers,Elimination
1Fracture,7,"""2-5""",EDG,Attackers,Elimination
1Fracture,8,"""2-6""",EDG,Attackers,Elimination
1Fracture,9,"""3-6""",TYL,Defenders,Elimination
1Fracture,10,"""3-7""",EDG,Attackers,Elimination
1Fracture,11,"""3-8""",EDG,Attackers,Elimination
1Fracture,12,"""4-8""",TYL,Defenders,Elimination
1Fracture,13,"""4-9""",TYL,Defenders,Elimination
1Fracture,14,"""5-9""",EDG,Attackers,Elimination
1Fracture,15,"""6-9""",EDG,Attackers,Elimination
1Fracture,16,"""7-9""",EDG,Attackers,Elimination
1Fracture,17,"""7-10""",TYL,Defenders,Defuse
1Fracture,18,"""7-11""",TYL,Defenders,Elimination
1Fracture,19,"""7-12""",TYL,Defenders,Elimination
1Fracture,20,"""7-13""",TYL,Defenders,Elimination
1Fracture,21,"""""",,,
1Fracture,22,"""""",,,
1Fracture,23,"""""",,,
1Fracture,24,"""""",,,
