Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
slowly,TYL,All_Maps,All,"Tejo, Kayo, Breach",,253,51,39,25,+12,,,,,,
Ninebody,TYL,All_Maps,All,"Yoru, Waylay, Cypher",,174,35,46,4,-11,,,,,,
waituu,TYL,All_Maps,All,"Astra, Viper, Omen",,168,35,42,14,-7,,,,,,
zjc,TYL,All_Maps,All,"Fade, Gekko, Sova",,156,34,38,6,-4,,,,,,
5CM,TYL,All_Maps,All,"Vyse, Killjoy, Neon",,156,27,48,12,-21,,,,,,
Life,FPX,All_Maps,All,"Yoru, Jett, Neon",,289,61,39,10,+22,,,,,,
yosemite,FPX,All_Maps,All,"Viper, Vyse",,249,53,33,10,+20,,,,,,
Autumn,FPX,All_Maps,All,"Cypher, Vyse, Viper",,189,36,40,18,-4,,,,,,
AAAAY,FPX,All_Maps,All,"Astra, Gekko, Omen",,162,33,34,19,-1,,,,,,
Shr1mp,FPX,All_Maps,All,"Fade, Tejo",,157,30,36,13,-6,,,,,,
slowly,TYL,All_Maps,Attack,"Tejo, Kayo, Breach",,,,,,,,,
Ninebody,TYL,All_Maps,Attack,"Yoru, Waylay, Cypher",,,,,,,,,
waituu,TYL,All_Maps,Attack,"Astra, Viper, Omen",,,,,,,,,
zjc,TYL,All_Maps,Attack,"Fade, Gekko, Sova",,,,,,,,,
5CM,TYL,All_Maps,Attack,"Vyse, Killjoy, Neon",,,,,,,,,
Life,FPX,All_Maps,Attack,"Yoru, Jett, Neon",,,,,,,,,
yosemite,FPX,All_Maps,Attack,"Viper, Vyse",,,,,,,,,
Autumn,FPX,All_Maps,Attack,"Cypher, Vyse, Viper",,,,,,,,,
AAAAY,FPX,All_Maps,Attack,"Astra, Gekko, Omen",,,,,,,,,
Shr1mp,FPX,All_Maps,Attack,"Fade, Tejo",,,,,,,,,
slowly,TYL,All_Maps,Defend,"Tejo, Kayo, Breach",,,,,,,,,
Ninebody,TYL,All_Maps,Defend,"Yoru, Waylay, Cypher",,,,,,,,,
waituu,TYL,All_Maps,Defend,"Astra, Viper, Omen",,,,,,,,,
zjc,TYL,All_Maps,Defend,"Fade, Gekko, Sova",,,,,,,,,
5CM,TYL,All_Maps,Defend,"Vyse, Killjoy, Neon",,,,,,,,,
Life,FPX,All_Maps,Defend,"Yoru, Jett, Neon",,,,,,,,,
yosemite,FPX,All_Maps,Defend,"Viper, Vyse",,,,,,,,,
Autumn,FPX,All_Maps,Defend,"Cypher, Vyse, Viper",,,,,,,,,
AAAAY,FPX,All_Maps,Defend,"Astra, Gekko, Omen",,,,,,,,,
Shr1mp,FPX,All_Maps,Defend,"Fade, Tejo",,,,,,,,,
