Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Fracture,1,"""0-1""",TEC,Defenders,Elimination
1Fracture,2,"""0-2""",TEC,Defenders,Elimination
1Fracture,3,"""1-2""",NOVA,Attackers,Elimination
1Fracture,4,"""1-3""",TEC,Defenders,Elimination
1Fracture,5,"""2-3""",NOVA,Attackers,Elimination
1Fracture,6,"""3-3""",NOVA,Attackers,Elimination
1Fracture,7,"""3-4""",TEC,Defenders,Elimination
1Fracture,8,"""3-5""",TEC,Defenders,Elimination
1Fracture,9,"""3-6""",TEC,Defenders,Defuse
1Fracture,10,"""4-6""",NOVA,Attackers,Elimination
1Fracture,11,"""5-6""",NOVA,Attackers,Elimination
1Fracture,12,"""6-6""",NOVA,Attackers,Elimination
1Fracture,13,"""7-6""",TEC,Defenders,Elimination
1Fracture,14,"""7-7""",NOVA,Attackers,Elimination
1Fracture,15,"""8-7""",TEC,Defenders,Defuse
1Fracture,16,"""8-8""",NOVA,Attackers,Elimination
1Fracture,17,"""9-8""",TEC,Defenders,Elimination
1Fracture,18,"""10-8""",TEC,Defenders,Elimination
1Fracture,19,"""10-9""",NOVA,Attackers,Elimination
1Fracture,20,"""11-9""",TEC,Defenders,Elimination
1Fracture,21,"""12-9""",TEC,Defenders,Defuse
1Fracture,22,"""13-9""",TEC,Defenders,
1Fracture,23,"""""",,,
1Fracture,24,"""""",,,
