Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Split,1,"""1-0""",TEC,Defenders,Defuse
2Split,2,"""2-0""",TEC,Defenders,Elimination
2Split,3,"""3-0""",TEC,Defenders,Defuse
2Split,4,"""4-0""",TEC,Defenders,Elimination
2Split,5,"""4-1""",NOVA,Attackers,Elimination
2Split,6,"""4-2""",NOVA,Attackers,Spike Detonation
2Split,7,"""5-2""",TEC,Defenders,Defuse
2Split,8,"""6-2""",TEC,Defenders,Elimination
2Split,9,"""7-2""",TEC,Defenders,Elimination
2Split,10,"""7-3""",NOVA,Attackers,Elimination
2Split,11,"""8-3""",TEC,Defenders,Defuse
2Split,12,"""9-3""",TEC,Defenders,Elimination
2Split,13,"""10-3""",NOVA,Attackers,Elimination
2Split,14,"""11-3""",NOVA,Attackers,Elimination
2Split,15,"""12-3""",NOVA,Attackers,Elimination
2Split,16,"""13-3""",NOVA,Attackers,Elimination
2Split,17,"""""",,,
2Split,18,"""""",,,
2Split,19,"""""",,,
2Split,20,"""""",,,
2Split,21,"""""",,,
2Split,22,"""""",,,
2Split,23,"""""",,,
2Split,24,"""""",,,
