Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
SiuFatBB,WOL,Map_2_2Fracture,All,Tejo,,267,18,12,5,+6,80%,,29%,,,
Spring,WOL,Map_2_2Fracture,All,Brimstone,,214,15,16,11,-1,70%,,11%,,,
Juicy,WOL,Map_2_2Fracture,All,Neon,,176,12,18,5,-6,70%,,27%,,,
Yuicaw,WOL,Map_2_2Fracture,All,Breach,,165,11,15,11,-4,85%,,26%,,,
Lysoar,WOL,Map_2_2Fracture,All,Cypher,,117,7,15,5,-8,75%,,19%,,3,-3
K1ra,AG,Map_2_2Fracture,All,Brimstone,,286,21,13,11,+8,90%,,24%,,,
HanChe,AG,Map_2_2Fracture,All,Cypher,,224,17,12,5,+5,75%,,42%,,,
Bai,AG,Map_2_2Fracture,All,Neon,,217,15,15,4,0,65%,,17%,,,
deLb,AG,Map_2_2Fracture,All,Tejo,,191,14,12,4,+2,70%,,25%,,,
Lsn,AG,Map_2_2Fracture,All,Breach,,134,9,11,14,-2,90%,,25%,,,
SiuFatBB,WOL,Map_2_2Fracture,Attack,Tejo,,,5,6,2,-1,86%,,17%,,,
Spring,WOL,Map_2_2Fracture,Attack,Brimstone,,,5,6,2,-1,71%,,27%,,,
Juicy,WOL,Map_2_2Fracture,Attack,Neon,,,4,6,2,-2,57%,,19%,,,
Yuicaw,WOL,Map_2_2Fracture,Attack,Breach,,,6,5,1,+1,71%,,14%,,,
Lysoar,WOL,Map_2_2Fracture,Attack,Cypher,,,3,5,1,-2,71%,,25%,,2,-2
K1ra,AG,Map_2_2Fracture,Attack,Brimstone,,,13,9,6,+4,92%,,24%,,,
HanChe,AG,Map_2_2Fracture,Attack,Cypher,,,18,7,5,+11,85%,,41%,,,
Bai,AG,Map_2_2Fracture,Attack,Neon,,,3,11,2,-8,62%,,25%,,,
deLb,AG,Map_2_2Fracture,Attack,Tejo,,,7,8,1,-1,62%,,35%,,,
Lsn,AG,Map_2_2Fracture,Attack,Breach,,,7,7,4,0,92%,,22%,,,
SiuFatBB,WOL,Map_2_2Fracture,Defend,Tejo,,,13,6,3,+7,77%,,38%,,,
Spring,WOL,Map_2_2Fracture,Defend,Brimstone,,,10,10,9,0,69%,,6%,,,
Juicy,WOL,Map_2_2Fracture,Defend,Neon,,,8,12,3,-4,77%,,31%,,,
Yuicaw,WOL,Map_2_2Fracture,Defend,Breach,,,5,10,10,-5,92%,,35%,,,
Lysoar,WOL,Map_2_2Fracture,Defend,Cypher,,,4,10,4,-6,77%,,16%,,1,-1
K1ra,AG,Map_2_2Fracture,Defend,Brimstone,,,8,4,5,+4,86%,,25%,,,
HanChe,AG,Map_2_2Fracture,Defend,Cypher,,,-1,5,0,-6,57%,,100%,,,
Bai,AG,Map_2_2Fracture,Defend,Neon,,,12,4,2,+8,71%,,14%,,,
deLb,AG,Map_2_2Fracture,Defend,Tejo,,,7,4,3,+3,86%,,19%,,,
Lsn,AG,Map_2_2Fracture,Defend,Breach,,,2,4,10,-2,86%,,30%,,,
