Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
CHICHOO,EDG,Map_2_2Split,All,Cypher,1.45,231,20,16,4,+4,67%,157,31%,2,1,+1
ZmjjKK,EDG,Map_2_2Split,All,Iso,1.26,309,26,21,5,+5,83%,190,31%,3,3,0
Smoggy,EDG,Map_2_2Split,All,Omen,0.96,169,16,16,11,0,79%,100,28%,0,1,-1
nobody,EDG,Map_2_2Split,All,Fade,0.66,110,8,18,9,-10,63%,78,31%,3,2,+1
Jieni7,EDG,Map_2_2Split,All,Neon,0.29,103,8,22,7,-14,58%,58,22%,3,6,-3
vo0kashu,DRG,Map_2_2Split,All,Cypher,1.33,292,25,16,10,+9,88%,192,28%,3,1,+2
Cangshu,DRG,Map_2_2Split,All,Tejo,1.20,213,19,14,6,+5,83%,158,34%,3,1,+2
SpiritZ1,DRG,Map_2_2Split,All,Yoru,1.07,256,21,19,1,+2,83%,159,45%,3,3,0
Nicc,DRG,Map_2_2Split,All,Breach,1.02,185,16,16,14,0,83%,115,35%,2,2,0
Flex1n,DRG,Map_2_2Split,All,Omen,0.85,147,12,14,11,-2,79%,89,16%,2,4,-2
CHICHOO,EDG,Map_2_2Split,Attack,Cypher,1.55,200,9,6,0,+3,67%,128,33%,0,1,-1
ZmjjKK,EDG,Map_2_2Split,Attack,Iso,1.67,408,18,10,3,+8,100%,231,38%,1,1,0
Smoggy,EDG,Map_2_2Split,Attack,Omen,0.70,96,4,8,8,-4,75%,48,33%,0,0,0
nobody,EDG,Map_2_2Split,Attack,Fade,0.64,126,4,9,4,-5,75%,89,33%,2,0,+2
Jieni7,EDG,Map_2_2Split,Attack,Neon,0.38,136,5,11,5,-6,58%,75,20%,2,5,-3
vo0kashu,DRG,Map_2_2Split,Attack,Cypher,1.40,332,14,8,6,+6,92%,229,36%,1,1,0
Cangshu,DRG,Map_2_2Split,Attack,Tejo,1.29,190,9,6,4,+3,83%,151,37%,1,1,0
SpiritZ1,DRG,Map_2_2Split,Attack,Yoru,0.79,194,8,10,1,-2,83%,119,42%,2,1,+1
Nicc,DRG,Map_2_2Split,Attack,Breach,1.26,175,8,7,10,+1,83%,109,53%,0,1,-1
Flex1n,DRG,Map_2_2Split,Attack,Omen,1.22,247,10,8,7,+2,83%,152,18%,2,2,0
CHICHOO,EDG,Map_2_2Split,Defend,Cypher,1.35,262,11,10,4,+1,67%,186,29%,2,0,+2
ZmjjKK,EDG,Map_2_2Split,Defend,Iso,0.86,210,8,11,2,-3,67%,149,24%,2,2,0
Smoggy,EDG,Map_2_2Split,Defend,Omen,1.23,242,12,8,3,+4,83%,152,26%,0,1,-1
nobody,EDG,Map_2_2Split,Defend,Fade,0.69,94,4,9,5,-5,50%,67,29%,1,2,-1
Jieni7,EDG,Map_2_2Split,Defend,Neon,0.21,70,3,11,2,-8,58%,41,25%,1,1,0
vo0kashu,DRG,Map_2_2Split,Defend,Cypher,1.26,252,11,8,4,+3,83%,155,19%,2,0,+2
Cangshu,DRG,Map_2_2Split,Defend,Tejo,1.11,236,10,8,2,+2,83%,165,31%,2,0,+2
SpiritZ1,DRG,Map_2_2Split,Defend,Yoru,1.34,318,13,9,0,+4,83%,199,48%,1,2,-1
Nicc,DRG,Map_2_2Split,Defend,Breach,0.78,195,8,9,4,-1,83%,121,24%,2,1,+1
Flex1n,DRG,Map_2_2Split,Defend,Omen,0.49,47,2,6,4,-4,75%,26,9%,0,2,-2
