Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Yuicaw,WOL,Map_1_1Pearl,All,Chamber,1.52,283,21,14,1,+7,70%,182,38%,1,3,-2
Lysoar,WOL,Map_1_1Pearl,All,Vyse,0.83,184,13,16,2,-3,60%,129,48%,0,0,0
Spring,WOL,Map_1_1Pearl,All,Astra,0.75,170,11,16,7,-5,40%,117,29%,1,3,-2
SiuFatBB,WOL,Map_1_1Pearl,All,Tejo,0.60,144,7,16,5,-9,50%,101,15%,0,2,-2
Juicy,WOL,Map_1_1Pearl,All,Yoru,0.47,162,12,19,1,-7,45%,106,50%,3,7,-4
Rarga,XLG,Map_1_1Pearl,All,Chamber,1.68,288,23,10,3,+13,75%,194,38%,4,0,+4
happywei,XLG,Map_1_1Pearl,All,Yoru,1.14,275,19,15,3,+4,65%,185,41%,5,2,+3
Viva,XLG,Map_1_1Pearl,All,Sova,1.14,179,13,12,7,+1,75%,118,24%,3,2,+1
coconut,XLG,Map_1_1Pearl,All,Astra,1.10,221,14,13,14,+1,95%,139,42%,1,0,+1
YOU,XLG,Map_1_1Pearl,All,Vyse,0.74,162,12,14,2,-2,70%,99,31%,2,1,+1
Yuicaw,WOL,Map_1_1Pearl,Attack,Chamber,1.51,316,9,7,1,+2,63%,204,39%,0,1,-1
Lysoar,WOL,Map_1_1Pearl,Attack,Vyse,0.30,137,3,8,0,-5,25%,97,36%,0,0,0
Spring,WOL,Map_1_1Pearl,Attack,Astra,0.44,131,3,7,1,-4,25%,83,36%,0,1,-1
SiuFatBB,WOL,Map_1_1Pearl,Attack,Tejo,0.10,59,1,7,0,-6,25%,52,0%,0,1,-1
Juicy,WOL,Map_1_1Pearl,Attack,Yoru,0.16,106,3,8,0,-5,38%,67,50%,2,3,-1
Rarga,XLG,Map_1_1Pearl,Attack,Chamber,1.54,316,14,8,3,+6,75%,198,30%,3,0,+3
happywei,XLG,Map_1_1Pearl,Attack,Yoru,0.39,151,6,11,1,-5,50%,111,56%,2,1,+1
Viva,XLG,Map_1_1Pearl,Attack,Sova,1.14,196,8,8,4,0,75%,139,22%,2,1,+1
coconut,XLG,Map_1_1Pearl,Attack,Astra,1.33,280,11,8,8,+3,92%,171,36%,1,0,+1
YOU,XLG,Map_1_1Pearl,Attack,Vyse,0.41,117,5,10,1,-5,50%,72,21%,1,1,0
Yuicaw,WOL,Map_1_1Pearl,Defend,Chamber,1.52,261,12,7,0,+5,75%,167,36%,1,2,-1
Lysoar,WOL,Map_1_1Pearl,Defend,Vyse,1.18,215,10,8,2,+2,83%,150,56%,0,0,0
Spring,WOL,Map_1_1Pearl,Defend,Astra,0.96,196,8,9,6,-1,50%,140,26%,1,2,-1
SiuFatBB,WOL,Map_1_1Pearl,Defend,Tejo,0.94,201,6,9,5,-3,67%,134,22%,0,1,-1
Juicy,WOL,Map_1_1Pearl,Defend,Yoru,0.67,199,9,11,1,-2,50%,132,50%,1,4,-3
Rarga,XLG,Map_1_1Pearl,Defend,Chamber,1.89,246,9,2,0,+7,75%,188,58%,1,0,+1
happywei,XLG,Map_1_1Pearl,Defend,Yoru,2.25,461,13,4,2,+9,88%,296,34%,3,1,+2
Viva,XLG,Map_1_1Pearl,Defend,Sova,1.14,154,5,4,3,+1,75%,87,33%,1,1,0
coconut,XLG,Map_1_1Pearl,Defend,Astra,0.74,133,3,5,6,-2,100%,91,60%,0,0,0
YOU,XLG,Map_1_1Pearl,Defend,Vyse,1.24,230,7,4,1,+3,100%,140,39%,1,0,+1
