Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Ascent,1,"""0-1""",NOVA,Attackers,Elimination
2Ascent,2,"""0-2""",NOVA,Attackers,Elimination
2Ascent,3,"""1-2""",XLG,Defenders,Elimination
2Ascent,4,"""2-2""",XLG,Defenders,Time Expired
2Ascent,5,"""3-2""",XLG,Defenders,Elimination
2Ascent,6,"""4-2""",XLG,Defenders,Elimination
2Ascent,7,"""5-2""",XLG,Defenders,Defuse
2Ascent,8,"""6-2""",XLG,Defenders,Defuse
2Ascent,9,"""7-2""",XLG,Defenders,Elimination
2Ascent,10,"""8-2""",XLG,Defenders,Defuse
2Ascent,11,"""9-2""",XLG,Defenders,Elimination
2Ascent,12,"""10-2""",XLG,Defenders,Elimination
2Ascent,13,"""11-2""",NOVA,Attackers,Elimination
2Ascent,14,"""12-2""",NOVA,Attackers,Elimination
2Ascent,15,"""13-2""",NOVA,Attackers,Elimination
2Ascent,16,"""""",,,
2Ascent,17,"""""",,,
2Ascent,18,"""""",,,
2Ascent,19,"""""",,,
2Ascent,20,"""""",,,
2Ascent,21,"""""",,,
2Ascent,22,"""""",,,
2Ascent,23,"""""",,,
2Ascent,24,"""""",,,
