Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
deLb,AG,Map_2_2Bind,All,Brimstone,1.41,253,21,9,8,+12,81%,157,26%,1,1,0
K1ra,AG,Map_2_2Bind,All,Raze,1.31,220,17,9,1,+8,81%,135,14%,5,3,+2
Shr1mp,AG,Map_2_2Bind,All,Fade,1.03,168,12,11,12,+1,71%,96,26%,1,2,-1
Spitfires,AG,Map_2_2Bind,All,Yoru,1.00,171,14,11,1,+3,71%,105,30%,3,3,0
HanChe,AG,Map_2_2Bind,All,Viper,0.78,143,8,13,13,-5,67%,87,9%,2,0,+2
AAAAY,FPX,Map_2_2Bind,All,Skye,1.10,176,12,13,8,-1,57%,111,39%,0,2,-2
BerLIN,FPX,Map_2_2Bind,All,Brimstone,1.08,186,14,13,8,+1,62%,110,37%,0,2,-2
yosemite,FPX,Map_2_2Bind,All,Vyse,0.82,142,8,15,7,-7,48%,97,25%,2,1,+1
Life,FPX,Map_2_2Bind,All,Raze,0.73,160,10,16,2,-6,52%,98,27%,6,6,0
Autumn,FPX,Map_2_2Bind,All,Deadlock,0.71,123,9,15,6,-6,62%,76,15%,1,1,0
deLb,AG,Map_2_2Bind,Attack,Brimstone,0.66,122,4,6,4,-2,67%,85,25%,0,1,-1
K1ra,AG,Map_2_2Bind,Attack,Raze,1.51,273,8,5,0,+3,78%,170,18%,3,1,+2
Shr1mp,AG,Map_2_2Bind,Attack,Fade,0.52,60,1,6,5,-5,56%,43,20%,0,1,-1
Spitfires,AG,Map_2_2Bind,Attack,Yoru,1.05,220,8,6,1,+2,67%,131,35%,1,2,-1
HanChe,AG,Map_2_2Bind,Attack,Viper,0.29,66,2,7,0,-5,33%,49,13%,0,0,0
AAAAY,FPX,Map_2_2Bind,Attack,Skye,1.30,231,9,9,5,0,50%,153,39%,0,2,-2
BerLIN,FPX,Map_2_2Bind,Attack,Brimstone,0.77,123,5,9,4,-4,50%,73,56%,0,0,0
yosemite,FPX,Map_2_2Bind,Attack,Vyse,0.56,97,3,10,2,-7,25%,70,21%,1,0,+1
Life,FPX,Map_2_2Bind,Attack,Raze,0.31,109,3,11,1,-8,42%,82,33%,3,5,-2
Autumn,FPX,Map_2_2Bind,Attack,Deadlock,0.42,72,3,10,3,-7,42%,40,40%,0,1,-1
deLb,AG,Map_2_2Bind,Defend,Brimstone,1.97,351,17,3,4,+14,92%,211,26%,1,0,+1
K1ra,AG,Map_2_2Bind,Defend,Raze,1.15,180,9,4,1,+5,83%,109,13%,2,2,0
Shr1mp,AG,Map_2_2Bind,Defend,Fade,1.41,249,11,5,7,+6,83%,136,28%,1,1,0
Spitfires,AG,Map_2_2Bind,Defend,Yoru,0.96,134,6,5,0,+1,75%,86,22%,2,1,+1
HanChe,AG,Map_2_2Bind,Defend,Viper,1.14,201,6,6,13,0,92%,116,7%,2,0,+2
AAAAY,FPX,Map_2_2Bind,Defend,Skye,0.83,103,3,4,3,-1,67%,55,38%,0,0,0
BerLIN,FPX,Map_2_2Bind,Defend,Brimstone,1.50,270,9,4,4,+5,78%,159,28%,0,2,-2
yosemite,FPX,Map_2_2Bind,Defend,Vyse,1.16,202,5,5,5,0,78%,133,28%,1,1,0
Life,FPX,Map_2_2Bind,Defend,Raze,1.29,228,7,5,1,+2,67%,119,20%,3,1,+2
Autumn,FPX,Map_2_2Bind,Defend,Deadlock,1.09,191,6,5,3,+1,89%,124,10%,1,0,+1
