Map,Round Number,Score,Winning Team,Winning Side,Win Method
3Ascent,1,"""0-1""",AG,Defenders,Elimination
3Ascent,2,"""0-2""",AG,Defenders,Time Expired
3Ascent,3,"""0-3""",AG,Defenders,Elimination
3Ascent,4,"""1-3""",XLG,Attackers,Elimination
3Ascent,5,"""2-3""",XLG,Attackers,Elimination
3Ascent,6,"""2-4""",AG,Defenders,Time Expired
3Ascent,7,"""2-5""",AG,Defenders,Time Expired
3Ascent,8,"""2-6""",AG,Defenders,Elimination
3Ascent,9,"""2-7""",AG,Defenders,Elimination
3Ascent,10,"""2-8""",AG,Defenders,Elimination
3Ascent,11,"""2-9""",AG,Defenders,Defuse
3Ascent,12,"""2-10""",AG,Defenders,Elimination
3Ascent,13,"""2-11""",XLG,Attackers,Elimination
3Ascent,14,"""2-12""",XLG,Attackers,Elimination
3Ascent,15,"""3-12""",AG,Defenders,Elimination
3Ascent,16,"""3-13""",XLG,Attackers,Elimination
3Ascent,17,"""""",,,
3Ascent,18,"""""",,,
3Ascent,19,"""""",,,
3Ascent,20,"""""",,,
3Ascent,21,"""""",,,
3Ascent,22,"""""",,,
3Ascent,23,"""""",,,
3Ascent,24,"""""",,,
