Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Lotus,1,"""1-0""",AG,Attackers,Elimination
1Lotus,2,"""1-1""",DRG,Defenders,Elimination
1Lotus,3,"""1-2""",DRG,Defenders,Elimination
1Lotus,4,"""2-2""",AG,Attackers,Elimination
1Lotus,5,"""2-3""",DRG,Defenders,Defuse
1Lotus,6,"""2-4""",DRG,Defenders,Elimination
1Lotus,7,"""2-5""",DRG,Defenders,Defuse
1Lotus,8,"""2-6""",DRG,Defenders,Defuse
1Lotus,9,"""2-7""",DRG,Defenders,Defuse
1Lotus,10,"""2-8""",DRG,Defenders,Elimination
1Lotus,11,"""3-8""",AG,Attackers,Elimination
1Lotus,12,"""3-9""",DRG,Defenders,Elimination
1Lotus,13,"""4-9""",DRG,Defenders,Defuse
1Lotus,14,"""5-9""",DRG,Defenders,Elimination
1Lotus,15,"""5-10""",AG,Attackers,Elimination
1Lotus,16,"""5-11""",AG,Attackers,Elimination
1Lotus,17,"""5-12""",AG,Attackers,Elimination
1Lotus,18,"""5-13""",AG,Attackers,Elimination
1Lotus,19,"""""",,,
1Lotus,20,"""""",,,
1Lotus,21,"""""",,,
1Lotus,22,"""""",,,
1Lotus,23,"""""",,,
1Lotus,24,"""""",,,
