Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Ascent,1,"""1-0""",XLG,Attackers,Elimination
1Ascent,2,"""2-0""",XLG,Attackers,Spike Detonation
1Ascent,3,"""2-1""",DRG,Defenders,Elimination
1Ascent,4,"""3-1""",XLG,Attackers,Elimination
1Ascent,5,"""4-1""",XLG,Attackers,Spike Detonation
1Ascent,6,"""4-2""",DRG,Defenders,Time Expired
1Ascent,7,"""5-2""",XLG,Attackers,Elimination
1Ascent,8,"""6-2""",XLG,Attackers,Elimination
1Ascent,9,"""7-2""",XLG,Attackers,Spike Detonation
1Ascent,10,"""8-2""",XLG,Attackers,Elimination
1Ascent,11,"""9-2""",XLG,Attackers,Spike Detonation
1Ascent,12,"""10-2""",XLG,Attackers,Elimination
1Ascent,13,"""10-3""",XLG,Attackers,Elimination
1Ascent,14,"""10-4""",XLG,Attackers,Elimination
1Ascent,15,"""10-5""",XLG,Attackers,Elimination
1Ascent,16,"""10-6""",XLG,Attackers,Elimination
1Ascent,17,"""11-6""",DRG,Defenders,Elimination
1Ascent,18,"""12-6""",DRG,Defenders,Elimination
1Ascent,19,"""13-6""",DRG,Defenders,Defuse
1Ascent,20,"""""",,,
1Ascent,21,"""""",,,
1Ascent,22,"""""",,,
1Ascent,23,"""""",,,
1Ascent,24,"""""",,,
