Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Lotus,1,"""1-0""",JDG,Attackers,Elimination
2Lotus,2,"""2-0""",JDG,Attackers,Elimination
2Lotus,3,"""2-1""",EDG,Defenders,Elimination
2Lotus,4,"""3-1""",JDG,Attackers,Elimination
2Lotus,5,"""3-2""",EDG,Defenders,Time Expired
2Lotus,6,"""3-3""",EDG,Defenders,Elimination
2Lotus,7,"""4-3""",JDG,Attackers,Spike Detonation
2Lotus,8,"""4-4""",EDG,Defenders,Defuse
2Lotus,9,"""4-5""",EDG,Defenders,Elimination
2Lotus,10,"""5-5""",JDG,Attackers,Elimination
2Lotus,11,"""5-6""",EDG,Defenders,Elimination
2Lotus,12,"""6-6""",JDG,Attackers,Elimination
2Lotus,13,"""6-7""",JDG,Attackers,Elimination
2Lotus,14,"""6-8""",JDG,Attackers,Spike Detonation
2Lotus,15,"""7-8""",EDG,Defenders,Elimination
2Lotus,16,"""7-9""",JDG,Attackers,Elimination
2Lotus,17,"""8-9""",EDG,Defenders,Elimination
2Lotus,18,"""8-10""",JDG,Attackers,Spike Detonation
2Lotus,19,"""8-11""",JDG,Attackers,Elimination
2Lotus,20,"""9-11""",EDG,Defenders,Elimination
2Lotus,21,"""9-12""",JDG,Attackers,Elimination
2Lotus,22,"""10-12""",EDG,Defenders,Elimination
2Lotus,23,"""10-13""",JDG,Attackers,Elimination
2Lotus,24,"""""",,,
