Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Haven,1,"""1-0""",TE,Attackers,Elimination
1Haven,2,"""2-0""",TE,Attackers,Elimination
1Haven,3,"""2-1""",BLG,Defenders,Elimination
1Haven,4,"""3-1""",TE,Attackers,Elimination
1Haven,5,"""4-1""",TE,Attackers,Spike Detonation
1Haven,6,"""5-1""",TE,Attackers,Elimination
1Haven,7,"""5-2""",BLG,Defenders,Defuse
1Haven,8,"""5-3""",BLG,Defenders,Time Expired
1Haven,9,"""5-4""",BLG,Defenders,Elimination
1Haven,10,"""6-4""",TE,Attackers,Spike Detonation
1Haven,11,"""7-4""",TE,Attackers,Elimination
1Haven,12,"""8-4""",TE,Attackers,Elimination
1Haven,13,"""9-4""",BLG,Defenders,Defuse
1Haven,14,"""10-4""",BLG,Defenders,Elimination
1Haven,15,"""10-5""",TE,Attackers,Spike Detonation
1Haven,16,"""10-6""",TE,Attackers,Spike Detonation
1Haven,17,"""11-6""",BLG,Defenders,Time Expired
1Haven,18,"""12-6""",BLG,Defenders,Elimination
1Haven,19,"""13-6""",BLG,Defenders,Defuse
1Haven,20,"""""",,,
1Haven,21,"""""",,,
1Haven,22,"""""",,,
1Haven,23,"""""",,,
1Haven,24,"""""",,,
