Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
stew,JDG,Map_2_2Ascent,All,Yoru,1.42,334,35,22,8,+13,82%,216,31%,4,2,+2
kklin,JDG,Map_2_2Ascent,All,Vyse,1.09,208,19,20,8,-1,75%,137,21%,2,3,-1
Z1yan,JDG,Map_2_2Ascent,All,Chamber,1.08,216,22,20,2,+2,75%,140,37%,6,1,+5
jkuro,JDG,Map_2_2Ascent,All,Omen,0.97,174,17,20,12,-3,68%,111,29%,2,2,0
Babyblue,JDG,Map_2_2Ascent,All,Sova,0.56,131,11,21,10,-10,71%,97,15%,2,4,-2
Knight,BLG,Map_2_2Ascent,All,Sova,1.43,231,27,17,5,+10,89%,150,32%,1,0,+1
rushia,BLG,Map_2_2Ascent,All,Omen,1.23,264,24,21,16,+3,71%,166,37%,2,6,-4
nephh,BLG,Map_2_2Ascent,All,Kayo,1.07,219,22,20,15,+2,79%,137,22%,1,2,-1
whzy,BLG,Map_2_2Ascent,All,Neon,0.69,178,16,23,5,-7,71%,106,31%,6,5,+1
Levius,BLG,Map_2_2Ascent,All,Killjoy,0.63,158,14,23,5,-9,71%,123,28%,2,3,-1
stew,JDG,Map_2_2Ascent,Attack,Yoru,1.44,298,16,9,4,+7,79%,187,30%,3,1,+2
kklin,JDG,Map_2_2Ascent,Attack,Vyse,1.08,202,9,10,3,-1,71%,135,23%,0,2,-2
Z1yan,JDG,Map_2_2Ascent,Attack,Chamber,0.86,213,11,11,0,0,71%,131,45%,2,1,+1
jkuro,JDG,Map_2_2Ascent,Attack,Omen,0.55,132,5,12,6,-7,50%,89,23%,1,1,0
Babyblue,JDG,Map_2_2Ascent,Attack,Sova,0.70,123,5,10,6,-5,71%,88,8%,1,2,-1
Knight,BLG,Map_2_2Ascent,Attack,Sova,1.30,238,14,11,3,+3,100%,143,32%,1,0,+1
rushia,BLG,Map_2_2Ascent,Attack,Omen,1.00,219,10,11,6,-1,57%,152,37%,0,3,-3
nephh,BLG,Map_2_2Ascent,Attack,Kayo,1.14,236,12,11,9,+1,79%,143,29%,0,0,0
whzy,BLG,Map_2_2Ascent,Attack,Neon,0.74,204,8,12,3,-4,71%,133,29%,3,3,0
Levius,BLG,Map_2_2Ascent,Attack,Killjoy,0.45,163,7,13,1,-6,64%,124,27%,1,3,-2
stew,JDG,Map_2_2Ascent,Defend,Yoru,1.39,370,19,13,4,+6,86%,245,30%,1,1,0
kklin,JDG,Map_2_2Ascent,Defend,Vyse,1.09,214,10,10,5,0,79%,139,20%,2,1,+1
Z1yan,JDG,Map_2_2Ascent,Defend,Chamber,1.30,219,11,9,2,+2,79%,149,31%,4,0,+4
jkuro,JDG,Map_2_2Ascent,Defend,Omen,1.38,216,12,8,6,+4,86%,133,34%,1,1,0
Babyblue,JDG,Map_2_2Ascent,Defend,Sova,0.42,139,6,11,4,-5,71%,106,24%,1,2,-1
Knight,BLG,Map_2_2Ascent,Defend,Sova,1.56,224,13,6,2,+7,79%,157,32%,0,0,0
rushia,BLG,Map_2_2Ascent,Defend,Omen,1.45,309,14,10,10,+4,86%,180,36%,2,3,-1
nephh,BLG,Map_2_2Ascent,Defend,Kayo,1.00,202,10,9,6,+1,79%,131,14%,1,2,-1
whzy,BLG,Map_2_2Ascent,Defend,Neon,0.65,152,8,11,2,-3,71%,79,36%,3,2,+1
Levius,BLG,Map_2_2Ascent,Defend,Killjoy,0.81,153,7,10,4,-3,79%,122,30%,1,0,+1
