Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
GuanG,NOVA,Map_3_3Lotus,All,Vyse,1.38,257,17,15,1,+2,68%,162,40%,1,1,0
Ezeir,NOVA,Map_3_3Lotus,All,Omen,1.13,218,13,15,4,-2,68%,162,30%,2,0,+2
o0o0o,NOVA,Map_3_3Lotus,All,Fade,0.67,131,9,16,6,-7,68%,80,44%,1,1,0
cb,NOVA,Map_3_3Lotus,All,Waylay,0.57,171,11,18,2,-7,58%,116,32%,6,4,+2
SWERL,NOVA,Map_3_3Lotus,All,Raze,0.28,82,6,17,0,-11,58%,61,15%,0,3,-3
Shr1mp,AG,Map_3_3Lotus,All,Fade,1.48,258,20,11,8,+9,84%,153,31%,1,1,0
deLb,AG,Map_3_3Lotus,All,Omen,1.43,242,18,8,6,+10,84%,162,34%,0,1,-1
K1ra,AG,Map_3_3Lotus,All,Raze,1.14,233,14,12,7,+2,95%,158,26%,3,4,-1
HanChe,AG,Map_3_3Lotus,All,Viper,0.93,195,15,12,7,+3,79%,120,32%,2,2,0
Spitfires,AG,Map_3_3Lotus,All,Yoru,0.88,198,14,13,6,+1,74%,125,19%,3,2,+1
GuanG,NOVA,Map_3_3Lotus,Attack,Vyse,2.13,372,16,8,0,+8,83%,230,50%,1,0,+1
Ezeir,NOVA,Map_3_3Lotus,Attack,Omen,1.33,255,10,9,3,+1,67%,184,26%,2,0,+2
o0o0o,NOVA,Map_3_3Lotus,Attack,Fade,0.58,110,5,10,4,-5,67%,65,44%,0,0,0
cb,NOVA,Map_3_3Lotus,Attack,Waylay,0.25,130,5,12,1,-7,50%,93,12%,4,3,+1
SWERL,NOVA,Map_3_3Lotus,Attack,Raze,0.33,78,4,10,0,-6,67%,57,22%,0,2,-2
Shr1mp,AG,Map_3_3Lotus,Attack,Fade,1.03,113,3,3,3,0,86%,82,18%,0,0,0
deLb,AG,Map_3_3Lotus,Attack,Omen,2.12,301,9,1,2,+8,100%,220,53%,0,0,0
K1ra,AG,Map_3_3Lotus,Attack,Raze,0.82,165,4,4,1,0,86%,108,31%,1,2,-1
HanChe,AG,Map_3_3Lotus,Attack,Viper,1.03,279,8,5,1,+3,71%,154,50%,1,0,+1
Spitfires,AG,Map_3_3Lotus,Attack,Yoru,1.72,299,8,3,2,+5,86%,169,11%,2,1,+1
GuanG,NOVA,Map_3_3Lotus,Defend,Vyse,0.08,60,1,7,1,-6,43%,45,0%,0,1,-1
Ezeir,NOVA,Map_3_3Lotus,Defend,Omen,0.79,155,3,6,1,-3,71%,124,42%,0,0,0
o0o0o,NOVA,Map_3_3Lotus,Defend,Fade,0.83,167,4,6,2,-2,71%,106,44%,1,1,0
cb,NOVA,Map_3_3Lotus,Defend,Waylay,1.11,241,6,6,1,0,71%,155,64%,2,1,+1
SWERL,NOVA,Map_3_3Lotus,Defend,Raze,0.19,89,2,7,0,-5,43%,68,22%,0,1,-1
Shr1mp,AG,Map_3_3Lotus,Defend,Fade,1.74,343,17,8,5,+9,83%,194,33%,1,1,0
deLb,AG,Map_3_3Lotus,Defend,Omen,1.02,208,9,7,4,+2,75%,128,23%,0,1,-1
K1ra,AG,Map_3_3Lotus,Defend,Raze,1.33,273,10,8,6,+2,100%,187,24%,2,2,0
HanChe,AG,Map_3_3Lotus,Defend,Viper,0.88,146,7,7,6,0,83%,100,24%,1,2,-1
Spitfires,AG,Map_3_3Lotus,Defend,Yoru,0.39,139,6,10,4,-4,67%,99,31%,1,1,0
