Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Haven,1,"""0-1""",WOL,Attackers,Elimination
1Haven,2,"""1-1""",NOVA,Defenders,Defuse
1Haven,3,"""2-1""",NOVA,Defenders,Elimination
1Haven,4,"""3-1""",NOVA,Defenders,Elimination
1Haven,5,"""3-2""",WOL,Attackers,Spike Detonation
1Haven,6,"""4-2""",NOVA,Defenders,Elimination
1Haven,7,"""4-3""",WOL,Attackers,Elimination
1Haven,8,"""4-4""",WOL,Attackers,Elimination
1Haven,9,"""4-5""",WOL,Attackers,Elimination
1Haven,10,"""5-5""",NOVA,Defenders,Elimination
1Haven,11,"""5-6""",WOL,Attackers,Elimination
1Haven,12,"""6-6""",NOVA,Defenders,Elimination
1Haven,13,"""7-6""",WOL,Attackers,Elimination
1Haven,14,"""8-6""",WOL,Attackers,Elimination
1Haven,15,"""8-7""",NOVA,Defenders,Elimination
1Haven,16,"""8-8""",NOVA,Defenders,Defuse
1Haven,17,"""8-9""",NOVA,Defenders,Defuse
1Haven,18,"""9-9""",WOL,Attackers,Elimination
1Haven,19,"""10-9""",WOL,Attackers,Elimination
1Haven,20,"""11-9""",WOL,Attackers,Elimination
1Haven,21,"""11-10""",NOVA,Defenders,Elimination
1Haven,22,"""12-10""",WOL,Attackers,Elimination
1Haven,23,"""12-11""",NOVA,Defenders,Defuse
1Haven,24,"""12-12""",NOVA,Defenders,Elimination
1Haven,25,"""13-12""",NOVA,Defenders,Elimination
1Haven,26,"""13-13""",NOVA,Defenders,Elimination
1Haven,27,"""13-14""",WOL,Attackers,Elimination
1Haven,28,"""14-14""",WOL,Attackers,Elimination
1Haven,29,"""14-15""",WOL,Attackers,Elimination
1Haven,30,"""14-16""",NOVA,Defenders,Defuse
