Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Ascent,1,"""1-0""",TYL,Defenders,Defuse
2Ascent,2,"""2-0""",TYL,Defenders,Elimination
2Ascent,3,"""2-1""",JDG,Attackers,Elimination
2Ascent,4,"""3-1""",TYL,Defenders,Elimination
2Ascent,5,"""3-2""",JDG,Attackers,Elimination
2Ascent,6,"""4-2""",TYL,Defenders,Elimination
2Ascent,7,"""5-2""",TYL,Defenders,Elimination
2Ascent,8,"""6-2""",TYL,Defenders,Defuse
2Ascent,9,"""7-2""",TYL,Defenders,Elimination
2Ascent,10,"""8-2""",TYL,Defenders,Time Expired
2Ascent,11,"""8-3""",JDG,Attackers,Elimination
2Ascent,12,"""9-3""",TYL,Defenders,Elimination
2Ascent,13,"""10-3""",JDG,Attackers,Elimination
2Ascent,14,"""11-3""",JDG,Attackers,Elimination
2Ascent,15,"""11-4""",TYL,Defenders,Elimination
2Ascent,16,"""11-5""",TYL,Defenders,Elimination
2Ascent,17,"""12-5""",JDG,Attackers,Elimination
2Ascent,18,"""13-5""",JDG,Attackers,Elimination
2Ascent,19,"""""",,,
2Ascent,20,"""""",,,
2Ascent,21,"""""",,,
2Ascent,22,"""""",,,
2Ascent,23,"""""",,,
2Ascent,24,"""""",,,
