Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Abo,TEC,Map_1_1Lotus,All,Vyse,1.36,295,23,18,9,+5,91%,181,29%,4,1,+3
Coco,TEC,Map_1_1Lotus,All,Viper,0.97,201,17,14,1,+3,64%,129,29%,0,2,-2
lucas,TEC,Map_1_1Lotus,All,Fade,0.94,161,12,13,6,-1,68%,99,25%,3,1,+2
TvirusLuke,TEC,Map_1_1Lotus,All,Raze,0.73,195,14,18,2,-4,55%,128,20%,3,5,-2
Haodong,TEC,Map_1_1Lotus,All,Omen,0.70,103,8,12,4,-4,77%,63,42%,2,1,+1
jkuro,JDG,Map_1_1Lotus,All,Omen,1.44,265,21,14,12,+7,82%,160,27%,3,3,0
stew,JDG,Map_1_1Lotus,All,Raze,1.17,224,18,15,0,+3,68%,146,34%,3,2,+1
Z1yan,JDG,Map_1_1Lotus,All,Vyse,0.98,199,13,14,10,-1,77%,144,30%,2,4,-2
Babyblue,JDG,Map_1_1Lotus,All,Fade,0.87,152,13,15,6,-2,82%,98,48%,2,0,+2
kklin,JDG,Map_1_1Lotus,All,Viper,0.81,149,10,16,8,-6,59%,114,41%,0,3,-3
Abo,TEC,Map_1_1Lotus,Attack,Vyse,1.60,356,15,9,4,+6,92%,204,29%,3,0,+3
Coco,TEC,Map_1_1Lotus,Attack,Viper,0.85,183,8,8,1,0,67%,110,13%,0,2,-2
lucas,TEC,Map_1_1Lotus,Attack,Fade,0.82,152,6,7,3,-1,58%,99,21%,1,0,+1
TvirusLuke,TEC,Map_1_1Lotus,Attack,Raze,0.54,166,7,10,1,-3,50%,109,24%,2,3,-1
Haodong,TEC,Map_1_1Lotus,Attack,Omen,0.61,74,3,7,3,-4,83%,40,20%,1,0,+1
jkuro,JDG,Map_1_1Lotus,Attack,Omen,1.50,262,9,6,7,+3,80%,164,32%,1,2,-1
stew,JDG,Map_1_1Lotus,Attack,Raze,0.95,211,7,8,0,-1,60%,142,44%,1,0,+1
Z1yan,JDG,Map_1_1Lotus,Attack,Vyse,0.67,133,4,6,3,-2,90%,87,45%,1,2,-1
Babyblue,JDG,Map_1_1Lotus,Attack,Fade,0.94,197,8,8,4,0,80%,117,47%,2,0,+2
kklin,JDG,Map_1_1Lotus,Attack,Viper,0.89,170,6,7,4,-1,50%,123,42%,0,1,-1
Abo,TEC,Map_1_1Lotus,Defend,Vyse,1.07,222,8,9,5,-1,90%,153,29%,1,1,0
Coco,TEC,Map_1_1Lotus,Defend,Viper,1.10,223,9,6,0,+3,60%,152,53%,0,0,0
lucas,TEC,Map_1_1Lotus,Defend,Fade,1.10,172,6,6,3,0,80%,99,31%,2,1,+1
TvirusLuke,TEC,Map_1_1Lotus,Defend,Raze,0.97,230,7,8,1,-1,60%,151,19%,1,2,-1
Haodong,TEC,Map_1_1Lotus,Defend,Omen,0.81,138,5,5,1,0,70%,91,67%,1,1,0
jkuro,JDG,Map_1_1Lotus,Defend,Omen,1.39,268,12,8,5,+4,83%,157,23%,2,1,+1
stew,JDG,Map_1_1Lotus,Defend,Raze,1.36,235,11,7,0,+4,75%,149,33%,2,2,0
Z1yan,JDG,Map_1_1Lotus,Defend,Vyse,1.24,254,9,8,7,+1,67%,192,24%,1,2,-1
Babyblue,JDG,Map_1_1Lotus,Defend,Fade,0.81,115,5,7,2,-2,83%,82,50%,0,0,0
kklin,JDG,Map_1_1Lotus,Defend,Viper,0.74,132,4,9,4,-5,67%,107,40%,0,2,-2
