Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Sunset,1,"""1-0""",TEC,Attackers,Elimination
1Sunset,2,"""2-0""",TEC,Attackers,Elimination
1Sunset,3,"""2-1""",TE,Defenders,Elimination
1Sunset,4,"""3-1""",TEC,Attackers,Elimination
1Sunset,5,"""3-2""",TE,Defenders,Elimination
1Sunset,6,"""3-3""",TE,Defenders,Defuse
1Sunset,7,"""3-4""",TE,Defenders,Defuse
1Sunset,8,"""3-5""",TE,Defenders,Elimination
1Sunset,9,"""3-6""",TE,Defenders,Elimination
1Sunset,10,"""3-7""",TE,Defenders,Elimination
1Sunset,11,"""4-7""",TEC,Attackers,Elimination
1Sunset,12,"""5-7""",TEC,Attackers,Spike Detonation
1Sunset,13,"""6-7""",TE,Defenders,Defuse
1Sunset,14,"""7-7""",TE,Defenders,Elimination
1Sunset,15,"""8-7""",TE,Defenders,Time Expired
1Sunset,16,"""8-8""",TEC,Attackers,Elimination
1Sunset,17,"""8-9""",TEC,Attackers,Elimination
1Sunset,18,"""8-10""",TEC,Attackers,Elimination
1Sunset,19,"""8-11""",TEC,Attackers,Elimination
1Sunset,20,"""9-11""",TE,Defenders,Defuse
1Sunset,21,"""9-12""",TEC,Attackers,Elimination
1Sunset,22,"""9-13""",TEC,Attackers,Elimination
1Sunset,23,"""""",,,
1Sunset,24,"""""",,,
