Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Haven,1,"""1-0""",FPX,Attackers,Elimination
1Haven,2,"""2-0""",FPX,Attackers,Spike Detonation
1Haven,3,"""3-0""",FPX,Attackers,Elimination
1Haven,4,"""4-0""",FPX,Attackers,Elimination
1Haven,5,"""5-0""",FPX,Attackers,Elimination
1Haven,6,"""5-1""",XLG,Defenders,Elimination
1Haven,7,"""5-2""",XLG,Defenders,Elimination
1Haven,8,"""6-2""",FPX,Attackers,Elimination
1Haven,9,"""7-2""",FPX,Attackers,Spike Detonation
1Haven,10,"""8-2""",FPX,Attackers,Elimination
1Haven,11,"""9-2""",FPX,Attackers,Elimination
1Haven,12,"""10-2""",FPX,Attackers,Elimination
1Haven,13,"""11-2""",XLG,Defenders,Elimination
1Haven,14,"""11-3""",FPX,Attackers,Spike Detonation
1Haven,15,"""11-4""",FPX,Attackers,Elimination
1Haven,16,"""12-4""",XLG,Defenders,Defuse
1Haven,17,"""12-5""",FPX,Attackers,Elimination
1Haven,18,"""12-6""",FPX,Attackers,Elimination
1Haven,19,"""12-7""",FPX,Attackers,Spike Detonation
1Haven,20,"""12-8""",FPX,Attackers,Elimination
1Haven,21,"""13-8""",XLG,Defenders,Elimination
1Haven,22,"""""",,,
1Haven,23,"""""",,,
1Haven,24,"""""",,,
