Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
vo0kashu,DRG,Map_1_1Haven,All,Iso,1.21,228,19,14,5,+5,83%,159,29%,3,1,+2
SpiritZ1,DRG,Map_1_1Haven,All,Yoru,1.07,261,21,19,5,+2,65%,173,34%,5,2,+3
Nicc,DRG,Map_1_1Haven,All,Sova,1.02,204,16,16,11,0,74%,146,23%,2,4,-2
Flex1n,DRG,Map_1_1Haven,All,Omen,0.93,166,15,15,11,0,70%,109,18%,2,2,0
Akeman,DRG,Map_1_1Haven,All,Cypher,0.83,178,15,17,3,-2,65%,112,36%,1,1,0
Knight,BLG,Map_1_1Haven,All,Sova,1.48,301,23,16,6,+7,83%,175,19%,3,0,+3
rushia,BLG,Map_1_1Haven,All,Omen,1.25,231,19,17,6,+2,83%,153,25%,4,2,+2
nephh,BLG,Map_1_1Haven,All,Breach,1.13,204,17,17,8,0,78%,131,16%,1,1,0
whzy,BLG,Map_1_1Haven,All,Neon,0.58,159,11,18,5,-7,61%,100,19%,2,7,-5
Levius,BLG,Map_1_1Haven,All,Cypher,0.56,125,11,18,5,-7,61%,87,12%,0,3,-3
vo0kashu,DRG,Map_1_1Haven,Attack,Iso,1.46,332,13,9,3,+4,83%,223,29%,2,0,+2
SpiritZ1,DRG,Map_1_1Haven,Attack,Yoru,0.73,171,7,11,3,-4,58%,120,26%,1,1,0
Nicc,DRG,Map_1_1Haven,Attack,Sova,0.77,125,7,8,3,-1,58%,76,15%,1,4,-3
Flex1n,DRG,Map_1_1Haven,Attack,Omen,0.78,141,7,9,4,-2,58%,100,33%,0,1,-1
Akeman,DRG,Map_1_1Haven,Attack,Cypher,0.44,111,4,10,2,-6,50%,71,33%,1,1,0
Knight,BLG,Map_1_1Haven,Attack,Sova,1.13,263,9,10,2,-1,73%,158,21%,0,0,0
rushia,BLG,Map_1_1Haven,Attack,Omen,1.12,198,8,9,2,-1,73%,130,35%,3,2,+1
nephh,BLG,Map_1_1Haven,Attack,Breach,1.29,250,11,9,3,+2,82%,151,15%,0,0,0
whzy,BLG,Map_1_1Haven,Attack,Neon,0.33,110,3,10,3,-7,55%,70,27%,0,4,-4
Levius,BLG,Map_1_1Haven,Attack,Cypher,0.21,94,3,10,1,-7,45%,68,0%,0,2,-2
vo0kashu,DRG,Map_1_1Haven,Defend,Iso,0.93,115,6,5,2,+1,82%,89,30%,1,1,0
SpiritZ1,DRG,Map_1_1Haven,Defend,Yoru,1.46,359,14,8,2,+6,73%,231,40%,4,1,+3
Nicc,DRG,Map_1_1Haven,Defend,Sova,1.30,290,9,8,8,+1,91%,222,30%,1,0,+1
Flex1n,DRG,Map_1_1Haven,Defend,Omen,1.09,193,8,6,7,+2,82%,119,9%,2,1,+1
Akeman,DRG,Map_1_1Haven,Defend,Cypher,1.25,251,11,7,1,+4,82%,157,38%,0,0,0
Knight,BLG,Map_1_1Haven,Defend,Sova,1.80,336,14,6,4,+8,92%,191,15%,3,0,+3
rushia,BLG,Map_1_1Haven,Defend,Omen,1.37,261,11,8,4,+3,92%,174,20%,1,0,+1
nephh,BLG,Map_1_1Haven,Defend,Breach,0.98,162,6,8,5,-2,75%,113,17%,1,1,0
whzy,BLG,Map_1_1Haven,Defend,Neon,0.81,204,8,8,2,0,67%,128,12%,2,3,-1
Levius,BLG,Map_1_1Haven,Defend,Cypher,0.88,153,8,8,4,0,75%,104,23%,0,1,-1
