Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
rushia,BLG,Map_3_3Lotus,All,Viper,1.81,307,25,12,6,+13,78%,202,30%,1,2,-1
whzy,BLG,Map_3_3Lotus,All,Raze,1.30,238,20,15,7,+5,91%,164,17%,3,2,+1
nephh,BLG,Map_3_3Lotus,All,Omen,1.03,193,18,16,10,+2,74%,115,17%,1,3,-2
Knight,BLG,Map_3_3Lotus,All,Fade,1.02,175,14,15,7,-1,74%,116,26%,2,2,0
Levius,BLG,Map_3_3Lotus,All,Vyse,0.56,165,13,19,5,-6,74%,123,31%,1,6,-5
ZmjjKK,EDG,Map_3_3Lotus,All,Yoru,1.08,253,21,17,2,+4,57%,151,21%,4,2,+2
Jieni7,EDG,Map_3_3Lotus,All,Raze,1.06,243,17,17,4,0,61%,165,20%,4,3,+1
nobody,EDG,Map_3_3Lotus,All,Fade,0.75,135,12,16,6,-4,70%,79,34%,2,2,0
Smoggy,EDG,Map_3_3Lotus,All,Omen,0.74,168,13,19,6,-6,65%,110,31%,2,1,+1
CHICHOO,EDG,Map_3_3Lotus,All,Vyse,0.69,196,14,21,7,-7,61%,135,28%,3,0,+3
rushia,BLG,Map_3_3Lotus,Attack,Viper,1.09,221,9,8,0,+1,73%,136,39%,0,2,-2
whzy,BLG,Map_3_3Lotus,Attack,Raze,1.01,202,8,8,2,0,82%,128,17%,1,2,-1
nephh,BLG,Map_3_3Lotus,Attack,Omen,1.14,194,8,8,3,0,73%,117,19%,0,1,-1
Knight,BLG,Map_3_3Lotus,Attack,Fade,1.13,196,7,8,4,-1,73%,141,18%,0,1,-1
Levius,BLG,Map_3_3Lotus,Attack,Vyse,0.26,120,4,11,1,-7,64%,82,25%,0,4,-4
ZmjjKK,EDG,Map_3_3Lotus,Attack,Yoru,0.64,211,8,11,2,-3,42%,127,25%,2,2,0
Jieni7,EDG,Map_3_3Lotus,Attack,Raze,1.24,286,10,10,3,0,42%,192,21%,1,2,-1
nobody,EDG,Map_3_3Lotus,Attack,Fade,0.28,81,3,11,3,-8,50%,44,15%,0,2,-2
Smoggy,EDG,Map_3_3Lotus,Attack,Omen,0.75,178,7,11,3,-4,58%,101,25%,1,1,0
CHICHOO,EDG,Map_3_3Lotus,Attack,Vyse,0.56,148,6,11,1,-5,67%,94,46%,1,0,+1
rushia,BLG,Map_3_3Lotus,Defend,Viper,2.47,386,16,4,6,+12,83%,263,24%,1,0,+1
whzy,BLG,Map_3_3Lotus,Defend,Raze,1.57,271,12,7,5,+5,100%,197,18%,2,0,+2
nephh,BLG,Map_3_3Lotus,Defend,Omen,0.94,192,10,8,7,+2,75%,113,14%,1,2,-1
Knight,BLG,Map_3_3Lotus,Defend,Fade,0.91,156,7,7,3,0,75%,93,43%,2,1,+1
Levius,BLG,Map_3_3Lotus,Defend,Vyse,0.83,206,9,8,4,+1,83%,161,33%,1,2,-1
ZmjjKK,EDG,Map_3_3Lotus,Defend,Yoru,1.55,299,13,6,0,+7,73%,177,17%,2,0,+2
Jieni7,EDG,Map_3_3Lotus,Defend,Raze,0.87,196,7,7,1,0,82%,136,20%,3,1,+2
nobody,EDG,Map_3_3Lotus,Defend,Fade,1.26,194,9,5,3,+4,91%,117,50%,2,0,+2
Smoggy,EDG,Map_3_3Lotus,Defend,Omen,0.72,157,6,8,3,-2,73%,120,38%,1,0,+1
CHICHOO,EDG,Map_3_3Lotus,Defend,Vyse,0.83,248,8,10,6,-2,55%,180,21%,2,0,+2
