Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
whzy,BLG,All_Maps,All,"Raze, Jett",1.38,242,50,42,16,+8,74%,192,28%,5,7,-2
Knight,BLG,All_Maps,All,"Fade, Sova",1.13,291,63,42,14,+21,62%,139,30%,5,1,+4
nephh,BLG,All_Maps,All,"Kayo, Viper, Omen",1.02,169,38,42,23,-4,69%,102,21%,5,2,+3
rushia,BLG,All_Maps,All,"Brimstone, Harbor, Viper",0.96,190,41,39,21,+2,74%,99,15%,0,5,-5
Levius,BLG,All_Maps,All,"Viper, Killjoy, Vyse",0.91,194,39,38,17,+1,62%,125,24%,4,8,-4
slowly,TYL,All_Maps,All,"Yoru, Jett, Omen",1.49,278,61,43,13,+18,69%,196,34%,8,6,+2
Ninebody,TYL,All_Maps,All,"Raze, Killjoy, Vyse",1.00,202,43,45,12,-2,64%,147,20%,5,0,+5
Scales,TYL,All_Maps,All,"Viper, Sova",0.80,162,32,47,17,-15,62%,130,28%,5,3,+2
Yoyo,TYL,All_Maps,All,"Brimstone, Viper, Raze",0.71,171,32,48,19,-16,74%,110,34%,2,1,+1
sword9,TYL,All_Maps,All,"Fade, Omen",0.66,166,35,48,11,-13,69%,108,29%,3,9,-6
whzy,BLG,All_Maps,Attack,"Raze, Jett",1.09,255,21,19,5,+2,71%,171,36%,3,6,-3
Knight,BLG,All_Maps,Attack,"Fade, Sova",0.61,122,12,18,1,-6,50%,84,32%,1,0,+1
nephh,BLG,All_Maps,Attack,"Kayo, Viper, Omen",1.16,210,19,16,7,+3,67%,120,24%,2,0,+2
rushia,BLG,All_Maps,Attack,"Brimstone, Harbor, Viper",0.93,160,15,17,11,-2,75%,96,10%,0,4,-4
Levius,BLG,All_Maps,Attack,"Viper, Killjoy, Vyse",1.17,253,19,16,4,+3,67%,164,27%,4,4,0
slowly,TYL,All_Maps,Attack,"Yoru, Jett, Omen",1.46,285,20,11,2,+9,72%,177,32%,2,2,0
Ninebody,TYL,All_Maps,Attack,"Raze, Killjoy, Vyse",1.09,243,15,13,3,+2,67%,170,22%,3,0,+3
Scales,TYL,All_Maps,Attack,"Viper, Sova",0.37,108,6,14,1,-8,50%,79,29%,1,2,-1
Yoyo,TYL,All_Maps,Attack,"Brimstone, Viper, Raze",0.58,167,9,15,6,-6,72%,121,31%,1,1,0
sword9,TYL,All_Maps,Attack,"Fade, Omen",0.58,148,9,14,4,-5,72%,105,20%,2,4,-2
whzy,BLG,All_Maps,Defend,"Raze, Jett",1.76,307,19,10,5,+9,78%,220,22%,2,1,+1
Knight,BLG,All_Maps,Defend,"Fade, Sova",1.83,358,24,10,4,+14,78%,212,30%,4,1,+3
nephh,BLG,All_Maps,Defend,"Kayo, Viper, Omen",0.83,155,9,14,11,-5,72%,78,12%,3,2,+1
rushia,BLG,All_Maps,Defend,"Brimstone, Harbor, Viper",1.00,164,10,13,4,-3,72%,103,19%,0,1,-1
Levius,BLG,All_Maps,Defend,"Viper, Killjoy, Vyse",0.57,96,5,12,7,-7,56%,74,11%,0,4,-4
slowly,TYL,All_Maps,Defend,"Yoru, Jett, Omen",1.52,314,26,18,6,+8,67%,211,36%,6,4,+2
Ninebody,TYL,All_Maps,Defend,"Raze, Killjoy, Vyse",0.93,195,16,16,6,0,63%,130,19%,2,0,+2
Scales,TYL,All_Maps,Defend,"Viper, Sova",1.13,230,18,17,11,+1,71%,168,28%,4,1,+3
Yoyo,TYL,All_Maps,Defend,"Brimstone, Viper, Raze",0.81,141,12,16,8,-4,75%,102,34%,1,0,+1
sword9,TYL,All_Maps,Defend,"Fade, Omen",0.72,159,14,19,5,-5,67%,110,36%,1,5,-4
