Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Viva,XLG,Map_1_1Ascent,All,Sova,1.78,299,24,10,3,+14,90%,203,32%,1,1,0
NoMan,XLG,Map_1_1Ascent,All,Chamber,1.14,236,17,13,4,+4,76%,151,14%,3,4,-1
happywei,XLG,Map_1_1Ascent,All,Vyse,1.02,176,14,12,1,+2,67%,116,29%,1,1,0
Rarga,XLG,Map_1_1Ascent,All,Yoru,0.82,215,16,17,0,-1,71%,137,44%,4,1,+3
coconut,XLG,Map_1_1Ascent,All,Omen,0.69,144,10,16,11,-6,67%,98,34%,2,3,-1
Shr1mp,AG,Map_1_1Ascent,All,Sova,1.02,181,15,15,2,0,62%,110,30%,0,3,-3
K1ra,AG,Map_1_1Ascent,All,Omen,0.90,166,10,14,7,-4,71%,110,22%,4,2,+2
Spitfires,AG,Map_1_1Ascent,All,Yoru,0.89,278,19,20,4,-1,67%,163,19%,3,3,0
HanChe,AG,Map_1_1Ascent,All,Cypher,0.83,175,12,15,5,-3,57%,122,21%,1,1,0
deLb,AG,Map_1_1Ascent,All,Deadlock,0.69,160,12,17,1,-5,62%,100,34%,2,2,0
Viva,XLG,Map_1_1Ascent,Attack,Sova,1.70,325,15,6,1,+9,92%,232,39%,1,1,0
NoMan,XLG,Map_1_1Ascent,Attack,Chamber,1.09,234,10,7,3,+3,75%,142,14%,2,2,0
happywei,XLG,Map_1_1Ascent,Attack,Vyse,1.22,220,10,6,1,+4,75%,154,32%,1,0,+1
Rarga,XLG,Map_1_1Ascent,Attack,Yoru,0.96,257,11,9,0,+2,83%,150,48%,3,0,+3
coconut,XLG,Map_1_1Ascent,Attack,Omen,0.76,130,6,8,4,-2,67%,100,50%,0,2,-2
Shr1mp,AG,Map_1_1Ascent,Attack,Sova,0.93,124,5,5,1,0,67%,68,43%,0,0,0
K1ra,AG,Map_1_1Ascent,Attack,Omen,1.15,181,5,4,6,+1,89%,127,43%,0,2,-2
Spitfires,AG,Map_1_1Ascent,Attack,Yoru,0.79,295,9,8,2,+1,67%,174,15%,3,1,+2
HanChe,AG,Map_1_1Ascent,Attack,Cypher,0.90,189,6,6,1,0,56%,129,38%,1,1,0
deLb,AG,Map_1_1Ascent,Attack,Deadlock,1.03,210,7,6,1,+1,78%,136,38%,1,0,+1
Viva,XLG,Map_1_1Ascent,Defend,Sova,1.88,264,9,4,2,+5,89%,164,21%,0,0,0
NoMan,XLG,Map_1_1Ascent,Defend,Chamber,1.20,239,7,6,1,+1,78%,163,14%,1,2,-1
happywei,XLG,Map_1_1Ascent,Defend,Vyse,0.75,117,4,6,0,-2,56%,65,23%,0,1,-1
Rarga,XLG,Map_1_1Ascent,Defend,Yoru,0.62,159,5,8,0,-3,56%,120,38%,1,1,0
coconut,XLG,Map_1_1Ascent,Defend,Omen,0.60,163,4,8,7,-4,67%,95,22%,2,1,+1
Shr1mp,AG,Map_1_1Ascent,Defend,Sova,1.09,224,10,10,1,0,58%,142,27%,0,3,-3
K1ra,AG,Map_1_1Ascent,Defend,Omen,0.71,155,5,10,1,-5,58%,97,14%,4,0,+4
Spitfires,AG,Map_1_1Ascent,Defend,Yoru,0.96,265,10,12,2,-2,67%,155,23%,0,2,-2
HanChe,AG,Map_1_1Ascent,Defend,Cypher,0.78,165,6,9,4,-3,58%,117,14%,0,0,0
deLb,AG,Map_1_1Ascent,Defend,Deadlock,0.44,123,5,11,0,-6,50%,73,31%,1,2,-1
