Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
NoMan,XLG,Map_2_2Icebox,All,Killjoy,1.31,243,19,14,2,+5,68%,172,46%,1,1,0
happywei,XLG,Map_2_2Icebox,All,Sage,1.17,228,19,15,5,+4,73%,146,32%,3,3,0
coconut,XLG,Map_2_2Icebox,All,Viper,0.98,207,16,17,9,-1,73%,130,25%,3,2,+1
Viva,XLG,Map_2_2Icebox,All,Sova,0.71,145,11,17,7,-6,68%,108,37%,0,1,-1
Rarga,XLG,Map_2_2Icebox,All,Jett,0.47,116,8,18,4,-10,59%,81,35%,4,4,0
K1ra,AG,Map_2_2Icebox,All,Viper,1.52,333,26,14,3,+12,82%,204,34%,4,2,+2
deLb,AG,Map_2_2Icebox,All,Omen,1.08,171,15,13,6,+2,73%,122,40%,1,1,0
HanChe,AG,Map_2_2Icebox,All,Killjoy,1.03,202,15,15,2,0,68%,143,30%,3,2,+1
Shr1mp,AG,Map_2_2Icebox,All,Sova,1.00,166,11,13,9,-2,68%,123,15%,0,2,-2
Spitfires,AG,Map_2_2Icebox,All,Jett,0.77,209,14,18,4,-4,64%,137,27%,3,4,-1
NoMan,XLG,Map_2_2Icebox,Attack,Killjoy,1.19,211,9,9,0,0,58%,151,43%,0,1,-1
happywei,XLG,Map_2_2Icebox,Attack,Sage,0.60,149,6,11,4,-5,58%,103,25%,2,2,0
coconut,XLG,Map_2_2Icebox,Attack,Viper,1.22,253,11,10,6,+1,67%,148,25%,1,1,0
Viva,XLG,Map_2_2Icebox,Attack,Sova,0.54,137,4,11,6,-7,50%,97,29%,0,1,-1
Rarga,XLG,Map_2_2Icebox,Attack,Jett,0.37,105,4,11,2,-7,58%,67,40%,2,2,0
K1ra,AG,Map_2_2Icebox,Attack,Viper,1.39,278,9,7,0,+2,60%,181,53%,2,1,+1
deLb,AG,Map_2_2Icebox,Attack,Omen,0.64,121,3,8,5,-5,70%,95,50%,1,0,+1
HanChe,AG,Map_2_2Icebox,Attack,Killjoy,1.09,236,8,8,1,0,50%,169,33%,1,2,-1
Shr1mp,AG,Map_2_2Icebox,Attack,Sova,0.57,75,2,7,2,-5,50%,58,9%,0,1,-1
Spitfires,AG,Map_2_2Icebox,Attack,Jett,0.79,208,7,9,1,-2,60%,148,53%,0,2,-2
NoMan,XLG,Map_2_2Icebox,Defend,Killjoy,1.44,281,10,5,2,+5,80%,197,48%,1,0,+1
happywei,XLG,Map_2_2Icebox,Defend,Sage,1.86,323,13,4,1,+9,90%,198,38%,1,1,0
coconut,XLG,Map_2_2Icebox,Defend,Viper,0.69,152,5,7,3,-2,80%,108,25%,2,1,+1
Viva,XLG,Map_2_2Icebox,Defend,Sova,0.92,155,7,6,1,+1,90%,121,46%,0,0,0
Rarga,XLG,Map_2_2Icebox,Defend,Jett,0.60,129,4,7,2,-3,60%,98,30%,2,2,0
K1ra,AG,Map_2_2Icebox,Defend,Viper,1.63,379,17,7,3,+10,100%,223,26%,2,1,+1
deLb,AG,Map_2_2Icebox,Defend,Omen,1.45,213,12,5,1,+7,75%,145,35%,0,1,-1
HanChe,AG,Map_2_2Icebox,Defend,Killjoy,0.98,174,7,7,1,0,83%,121,26%,2,0,+2
Shr1mp,AG,Map_2_2Icebox,Defend,Sova,1.36,242,9,6,7,+3,83%,177,16%,0,1,-1
Spitfires,AG,Map_2_2Icebox,Defend,Jett,0.76,210,7,9,3,-2,67%,128,13%,3,2,+1
