Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Ascent,1,"""0-1""",XLG,Defenders,Defuse
1Ascent,2,"""1-1""",AG,Attackers,Elimination
1Ascent,3,"""2-1""",AG,Attackers,Elimination
1Ascent,4,"""2-2""",XLG,Defenders,Time Expired
1Ascent,5,"""3-2""",AG,Attackers,Elimination
1Ascent,6,"""4-2""",AG,Attackers,Elimination
1Ascent,7,"""5-2""",AG,Attackers,Elimination
1Ascent,8,"""6-2""",AG,Attackers,Spike Detonation
1Ascent,9,"""7-2""",AG,Attackers,Spike Detonation
1Ascent,10,"""7-3""",XLG,Defenders,Time Expired
1Ascent,11,"""8-3""",AG,Attackers,Elimination
1Ascent,12,"""9-3""",AG,Attackers,Elimination
1Ascent,13,"""10-3""",XLG,Defenders,Elimination
1Ascent,14,"""11-3""",XLG,Defenders,Defuse
1Ascent,15,"""11-4""",AG,Attackers,Elimination
1Ascent,16,"""11-5""",AG,Attackers,Elimination
1Ascent,17,"""11-6""",AG,Attackers,Elimination
1Ascent,18,"""12-6""",XLG,Defenders,Time Expired
1Ascent,19,"""12-7""",AG,Attackers,Spike Detonation
1Ascent,20,"""12-8""",AG,Attackers,Elimination
1Ascent,21,"""13-8""",XLG,Defenders,Defuse
1Ascent,22,"""""",,,
1Ascent,23,"""""",,,
1Ascent,24,"""""",,,
