Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Lotus,1,"""0-1""",GX,Attackers,Elimination
1Lotus,2,"""0-2""",GX,Attackers,Elimination
1Lotus,3,"""0-3""",GX,Attackers,Elimination
1Lotus,4,"""0-4""",GX,Attackers,Elimination
1Lotus,5,"""1-4""",BBL,Defenders,Defuse
1Lotus,6,"""1-5""",GX,Attackers,Elimination
1Lotus,7,"""2-5""",BBL,Defenders,Defuse
1Lotus,8,"""3-5""",BBL,Defenders,Elimination
1Lotus,9,"""4-5""",BBL,Defenders,Elimination
1Lotus,10,"""5-5""",BBL,Defenders,Defuse
1Lotus,11,"""6-5""",BBL,Defenders,Elimination
1Lotus,12,"""6-6""",GX,Attackers,Elimination
1Lotus,13,"""7-6""",GX,Attackers,Elimination
1Lotus,14,"""8-6""",GX,Attackers,Elimination
1Lotus,15,"""8-7""",BBL,Defenders,Elimination
1Lotus,16,"""8-8""",BBL,Defenders,Defuse
1Lotus,17,"""8-9""",BBL,Defenders,Elimination
1Lotus,18,"""9-9""",GX,Attackers,Elimination
1Lotus,19,"""10-9""",GX,Attackers,Elimination
1Lotus,20,"""11-9""",GX,Attackers,Elimination
1Lotus,21,"""12-9""",GX,Attackers,Elimination
1Lotus,22,"""13-9""",GX,Attackers,Elimination
1Lotus,23,"""""",,,
1Lotus,24,"""""",,,
