Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Fracture,1,"""1-0""",FNC,Defenders,Defuse
2Fracture,2,"""1-1""",BBL,Attackers,Spike Detonation
2Fracture,3,"""2-1""",FNC,Defenders,Defuse
2Fracture,4,"""3-1""",FNC,Defenders,Elimination
2Fracture,5,"""4-1""",FNC,Defenders,Defuse
2Fracture,6,"""5-1""",FNC,Defenders,Defuse
2Fracture,7,"""5-2""",BBL,Attackers,Elimination
2Fracture,8,"""5-3""",BBL,Attackers,Elimination
2Fracture,9,"""6-3""",FNC,Defenders,Defuse
2Fracture,10,"""7-3""",FNC,Defenders,Elimination
2Fracture,11,"""8-3""",FNC,Defenders,Elimination
2Fracture,12,"""8-4""",BBL,Attackers,Elimination
2Fracture,13,"""9-4""",BBL,Attackers,Elimination
2Fracture,14,"""10-4""",BBL,Attackers,Elimination
2Fracture,15,"""11-4""",BBL,Attackers,Elimination
2Fracture,16,"""11-5""",FNC,Defenders,Defuse
2Fracture,17,"""12-5""",BBL,Attackers,Elimination
2Fracture,18,"""12-6""",FNC,Defenders,Elimination
2Fracture,19,"""12-7""",FNC,Defenders,Time Expired
2Fracture,20,"""12-8""",FNC,Defenders,Defuse
2Fracture,21,"""13-8""",BBL,Attackers,Elimination
2Fracture,22,"""""",,,
2Fracture,23,"""""",,,
2Fracture,24,"""""",,,
