Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
MrFaliN,FUT,Map_1_1Abyss,All,Sova,1.20,203,13,14,6,-1,65%,142,45%,2,1,+1
yetujey,FUT,Map_1_1Abyss,All,Vyse,1.04,230,16,16,3,0,60%,151,24%,4,3,+1
xeus,FUT,Map_1_1Abyss,All,Yoru,1.03,224,15,15,1,0,60%,141,42%,1,2,-1
AtaKaptan,FUT,Map_1_1Abyss,All,Astra,0.78,113,9,13,6,-4,60%,86,31%,1,4,-3
qRaxs,FUT,Map_1_1Abyss,All,Fade,0.53,123,7,17,9,-10,70%,87,28%,0,2,-2
kamyk,TL,Map_1_1Abyss,All,Sova,1.46,285,21,10,5,+11,80%,174,25%,3,1,+2
nAts,TL,Map_1_1Abyss,All,Cypher,1.24,225,16,12,9,+4,80%,157,45%,1,1,0
keiko,TL,Map_1_1Abyss,All,Omen,1.06,170,13,10,4,+3,70%,118,46%,1,2,-1
paTiTek,TL,Map_1_1Abyss,All,Kayo,0.89,181,12,13,8,-1,75%,118,39%,2,1,+1
kamo,TL,Map_1_1Abyss,All,Jett,0.76,183,13,15,3,-2,70%,110,35%,5,3,+2
MrFaliN,FUT,Map_1_1Abyss,Attack,Sova,1.13,203,5,6,5,-1,75%,143,38%,0,0,0
yetujey,FUT,Map_1_1Abyss,Attack,Vyse,1.14,264,8,6,0,+2,63%,169,24%,1,2,-1
xeus,FUT,Map_1_1Abyss,Attack,Yoru,0.86,212,6,6,0,0,63%,125,50%,0,2,-2
AtaKaptan,FUT,Map_1_1Abyss,Attack,Astra,1.08,151,5,5,2,0,75%,123,42%,1,1,0
qRaxs,FUT,Map_1_1Abyss,Attack,Fade,0.67,156,4,7,5,-3,88%,110,25%,0,1,-1
kamyk,TL,Map_1_1Abyss,Attack,Sova,1.48,306,14,5,1,+9,75%,175,25%,2,1,+1
nAts,TL,Map_1_1Abyss,Attack,Cypher,1.62,295,12,6,7,+6,92%,206,50%,0,0,0
keiko,TL,Map_1_1Abyss,Attack,Omen,1.34,192,9,5,4,+4,75%,139,44%,0,2,-2
paTiTek,TL,Map_1_1Abyss,Attack,Kayo,0.82,141,5,7,6,-2,67%,90,25%,1,0,+1
kamo,TL,Map_1_1Abyss,Attack,Jett,0.43,110,5,9,1,-4,58%,77,45%,3,3,0
MrFaliN,FUT,Map_1_1Abyss,Defend,Sova,1.25,205,8,8,1,0,58%,141,50%,2,1,+1
yetujey,FUT,Map_1_1Abyss,Defend,Vyse,0.97,208,8,10,3,-2,58%,140,25%,3,1,+2
xeus,FUT,Map_1_1Abyss,Defend,Yoru,1.15,233,9,9,1,0,58%,153,38%,1,0,+1
AtaKaptan,FUT,Map_1_1Abyss,Defend,Astra,0.58,88,4,8,4,-4,50%,62,21%,0,3,-3
qRaxs,FUT,Map_1_1Abyss,Defend,Fade,0.44,101,3,10,4,-7,58%,72,31%,0,1,-1
kamyk,TL,Map_1_1Abyss,Defend,Sova,1.44,253,7,5,4,+2,88%,173,25%,1,0,+1
nAts,TL,Map_1_1Abyss,Defend,Cypher,0.66,121,4,6,2,-2,63%,83,30%,1,1,0
keiko,TL,Map_1_1Abyss,Defend,Omen,0.65,138,4,5,0,-1,63%,87,50%,1,0,+1
paTiTek,TL,Map_1_1Abyss,Defend,Kayo,1.00,243,7,6,2,+1,88%,159,53%,1,1,0
kamo,TL,Map_1_1Abyss,Defend,Jett,1.25,293,8,6,2,+2,88%,159,30%,2,0,+2
