Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
purp0,GX,Map_1_1Fracture,All,Raze,1.22,273,21,16,4,+5,81%,176,40%,5,5,0
tomaszy,GX,Map_1_1Fracture,All,Brimstone,1.06,193,15,14,12,+1,67%,115,48%,2,0,+2
Cloud,GX,Map_1_1Fracture,All,Fade,0.91,201,15,18,8,-3,81%,141,27%,3,1,+2
runneR,GX,Map_1_1Fracture,All,Breach,0.63,160,10,18,11,-8,81%,114,23%,0,2,-2
westside,GX,Map_1_1Fracture,All,Killjoy,0.57,126,9,15,3,-6,52%,92,40%,0,3,-3
kamo,TL,Map_1_1Fracture,All,Raze,1.42,290,22,14,3,+8,67%,176,27%,6,3,+3
paTiTek,TL,Map_1_1Fracture,All,Breach,1.28,204,15,11,11,+4,86%,147,37%,1,3,-2
nAts,TL,Map_1_1Fracture,All,Cypher,1.27,224,18,14,7,+4,86%,148,41%,1,2,-1
kamyk,TL,Map_1_1Fracture,All,Tejo,1.16,200,15,15,5,0,90%,146,29%,1,0,+1
keiko,TL,Map_1_1Fracture,All,Brimstone,0.82,162,11,16,12,-5,81%,114,36%,2,2,0
purp0,GX,Map_1_1Fracture,Attack,Raze,1.42,328,11,7,0,+4,78%,220,61%,2,2,0
tomaszy,GX,Map_1_1Fracture,Attack,Brimstone,1.05,175,5,5,5,0,67%,103,45%,1,0,+1
Cloud,GX,Map_1_1Fracture,Attack,Fade,0.99,203,7,7,3,0,67%,148,25%,0,0,0
runneR,GX,Map_1_1Fracture,Attack,Breach,0.67,177,5,8,5,-3,56%,131,22%,0,2,-2
westside,GX,Map_1_1Fracture,Attack,Killjoy,0.32,62,2,6,0,-4,44%,43,42%,0,2,-2
kamo,TL,Map_1_1Fracture,Attack,Raze,1.33,285,12,8,3,+4,67%,174,31%,5,3,+2
paTiTek,TL,Map_1_1Fracture,Attack,Breach,1.41,196,9,5,5,+4,75%,141,33%,0,2,-2
nAts,TL,Map_1_1Fracture,Attack,Cypher,1.18,224,10,9,4,+1,83%,156,48%,0,1,-1
kamyk,TL,Map_1_1Fracture,Attack,Tejo,1.33,250,11,9,2,+2,92%,184,32%,0,0,0
keiko,TL,Map_1_1Fracture,Attack,Brimstone,0.87,153,6,9,10,-3,92%,106,40%,0,1,-1
purp0,GX,Map_1_1Fracture,Defend,Raze,1.06,233,10,9,4,+1,83%,142,25%,3,3,0
tomaszy,GX,Map_1_1Fracture,Defend,Brimstone,1.07,207,10,9,7,+1,67%,124,50%,1,0,+1
Cloud,GX,Map_1_1Fracture,Defend,Fade,0.85,200,8,11,5,-3,92%,135,29%,3,1,+2
runneR,GX,Map_1_1Fracture,Defend,Breach,0.59,147,5,10,6,-5,100%,100,24%,0,0,0
westside,GX,Map_1_1Fracture,Defend,Killjoy,0.76,175,7,9,3,-2,58%,128,39%,0,1,-1
kamo,TL,Map_1_1Fracture,Defend,Raze,1.55,297,10,6,0,+4,67%,178,23%,1,0,+1
paTiTek,TL,Map_1_1Fracture,Defend,Breach,1.10,216,6,6,6,0,100%,155,43%,1,1,0
nAts,TL,Map_1_1Fracture,Defend,Cypher,1.39,227,8,5,3,+3,89%,137,33%,1,1,0
kamyk,TL,Map_1_1Fracture,Defend,Tejo,0.94,135,4,6,3,-2,89%,95,24%,1,0,+1
keiko,TL,Map_1_1Fracture,Defend,Brimstone,0.74,174,5,7,2,-2,67%,124,31%,2,1,+1
