,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Zyppan M8,,2 Round 1 flyuh soulcas Round 12 Filu soulcas,,1 Round 11 soulcas grubinho sheydos Filu,,,,,,,55,1,1
RobbieBk M8,,1 Round 7 flyuh Filu,,,,,,,,,43,4,1
Click M8,,6 Round 2 Filu soulcas Round 6 soulcas sheydos Round 8 soulcas flyuh Round 9 grubinho flyuh Round 10 grubinho Filu Round 17 soulcas sheydos,1 Round 15 flyuh soulcas grubinho,1 Round 14 grubinho soulcas Filu flyuh,,,,,,,84,0,0
Kada M8,,2 Round 1 sheydos grubinho Round 4 flyuh soulcas,,,,,,,,,46,0,0
Minny M8,,4 Round 6 grubinho Filu Round 9 sheydos soulcas Round 18 Filu flyuh Round 19 Filu soulcas,3 Round 10 sheydos flyuh soulcas Round 16 grubinho Filu soulcas Round 17 flyuh Filu grubinho,,,1 Round 19 soulcas,1 Round 5 flyuh sheydos,,,,91,0,1
soulcas MKOI,,2 Round 18 RobbieBk Kada Round 19 Kada Click,,1 Round 13 Click Kada RobbieBk Zyppan,,,,,,,62,1,0
sheydos MKOI,,2 Round 5 Kada Minny Round 9 Kada Click,,,,1 Round 3 RobbieBk,,,,,54,2,0
flyuh MKOI,,1 Round 5 Zyppan Click,1 Round 2 Zyppan Click Minny,,,,1 Round 2 Click Minny,,,,42,0,0
Filu MKOI,,1 Round 14 Zyppan Kada,1 Round 8 Kada RobbieBk Click,,,,,,,,37,0,0
grubinho MKOI,,1 Round 1 Click Zyppan,2 Round 3 Zyppan Click Kada Round 12 Click RobbieBk Minny,,,,,,,,40,3,0
