,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,1 Round 9 Kada Minny,,,,,,,,,54,0,1
RieNs TH,,3 Round 4 Click Minny Round 8 RobbieBk Minny Round 13 RobbieBk Click RieNs,,,,1 Round 10 Minny,,,,,73,1,1
MiniBoo TH,,1 Round 7 Minny Click,4 Round 1 Minny RobbieBk Click Round 3 Minny Click RobbieBk Round 10 Click Kada RobbieBk Round 16 Kada Zyppan Minny,,,,,,,,88,1,0
Wo0t TH,,4 Round 4 RobbieBk Zyppan Round 7 RobbieBk Zyppan Round 9 Click Zyppan Round 11 RobbieBk Minny,,,,,,,,,60,0,0
benjyfishy TH,,,2 Round 6 Minny Kada Zyppan Round 12 Zyppan RobbieBk Minny,,,,,,,,55,0,0
Zyppan M8,,,,,,,,,,,33,2,0
RobbieBk M8,,,1 Round 14 Boo benjyfishy RieNs,,,,,,,,36,0,0
Click M8,,1 Round 1 RieNs Boo,,,,,,,,,10,0,0
Kada M8,,,1 Round 5 benjyfishy MiniBoo Wo0t,1 Round 15 MiniBoo Boo Wo0t RieNs,,,,,,,57,0,0
Minny M8,,1 Round 11 MiniBoo RieNs,1 Round 10 Wo0t Boo MiniBoo,,,,,,,,49,1,0
