,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,2 Round 7 florescent MOLSI Round 13 MOLSI batujnax,,,,,,,,,46,2,0
nAts TL,,3 Round 9 AvovA hype Round 16 batujnax florescent Round 19 florescent MOLSI,,,,,,,,,42,0,1
kamyk TL,,4 Round 3 hype AvovA Round 5 hype MOLSI Round 9 florescent batujnax Round 13 hype florescent,1 Round 6 batujnax MOLSI AvovA,,,,,,,,70,1,1
keiko TL,,6 Round 1 hype MOLSI Round 2 batujnax florescent Round 3 florescent batujnax Round 5 florescent AvovA Round 8 batujnax AvovA Round 19 hype batujnax,1 Round 18 batujnax MOLSI florescent,,,,,,,,74,1,0
kamo TL,,3 Round 1 florescent AvovA Round 2 MOLSI hype Round 14 AvovA MOLSI,1 Round 12 MOLSI AvovA hype,,,,,,,,67,0,0
hype APK,,3 Round 2 kamyk keiko Round 11 keiko kamyk Round 16 kamyk paTiTek,,1 Round 17 kamo keiko kamyk nAts,,,,,,,64,0,0
MOLSI APK,,1 Round 15 kamo kamyk,,,,,,,,,53,4,0
AvovA APK,,1 Round 15 keiko paTiTek,,,,,,,,,50,1,0
florescent APK,,4 Round 13 keiko paTiTek Round 16 kamo keiko Round 18 paTiTek nAts Round 19 kamo keiko,,,,,,,,,57,0,0
batujnax APK,,1 Round 4 kamo kamyk,,,,,,,,,22,0,0
