,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,3 Round 17 soulcas Filu Round 19 sheydos grubinho Round 20 soulcas grubinho,,,,1 Round 17 Filu,,,,,53,5,1
nAts TL,,,,,,,,,,,43,0,0
kamyk TL,,3 Round 4 flyuh Filu Round 11 Filu sheydos Round 13 Filu sheydos,1 Round 7 Filu flyuh soulcas,,,,,,,,33,3,0
keiko TL,,5 Round 6 soulcas flyuh Round 10 flyuh Filu Round 13 soulcas flyuh Round 15 flyuh grubinho Round 19 flyuh Filu,2 Round 1 Filu sheydos grubinho Round 12 Filu sheydos flyuh,,1 Round 22 soulcas flyuh Filu sheydos grubinho,,,,,,78,1,0
kamo TL,,4 Round 5 flyuh sheydos Round 6 Filu grubinho Round 7 grubinho sheydos Round 14 flyuh grubinho,1 Round 23 grubinho sheydos soulcas,1 Round 3 soulcas flyuh sheydos grubinho,,,,,,,67,1,0
soulcas MKOI,,2 Round 1 nAts keiko Round 10 nAts kamo,1 Round 23 kamyk paTiTek nAts,,,1 Round 1 keiko,,,,,56,0,0
sheydos MKOI,,3 Round 1 kamo paTiTek Round 12 paTiTek kamo Round 20 nAts kamyk,,1 Round 9 nAts kamo kamyk paTiTek,,,1 Round 9 paTiTek kamyk,,,,44,2,0
flyuh MKOI,,2 Round 3 paTiTek keiko Round 18 keiko paTiTek,1 Round 21 paTiTek keiko nAts,,,,,,,,40,2,1
Filu MKOI,,3 Round 11 keiko paTiTek Round 17 kamyk kamo Round 20 kamo paTiTek,1 Round 15 keiko nAts kamyk,,,1 Round 20 paTiTek,,,,,47,0,2
grubinho MKOI,,3 Round 11 kamo nAts Round 18 kamyk kamo Round 22 kamyk nAts,,,,1 Round 12 nAts,,,,,52,2,0
