Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
trexx,VIT,Map_2_2Abyss,All,Sova,1.89,320,17,6,5,+11,79%,212,42%,0,1,-1
Less,VIT,Map_2_2Abyss,All,Astra,1.57,250,13,6,8,+7,79%,171,29%,0,0,0
Kicks,VIT,Map_2_2Abyss,All,Breach,1.49,246,13,7,10,+6,93%,147,35%,1,0,+1
Sayf,VIT,Map_2_2Abyss,All,Tejo,1.42,273,15,8,3,+7,93%,180,21%,2,1,+1
Derke,VIT,Map_2_2Abyss,All,Jett,0.58,177,8,12,3,-4,50%,108,15%,4,6,-2
RieNs,TH,Map_2_2Abyss,All,Sova,1.20,265,13,13,5,0,79%,164,44%,3,0,+3
Wo0t,TH,Map_2_2Abyss,All,Chamber,0.78,187,9,13,1,-4,50%,118,30%,2,2,0
benjyfishy,TH,Map_2_2Abyss,All,Tejo,0.57,181,7,14,8,-7,79%,132,33%,1,0,+1
MiniBoo,TH,Map_2_2Abyss,All,Yoru,0.52,123,5,13,7,-8,50%,86,36%,1,2,-1
Boo,TH,Map_2_2Abyss,All,Astra,0.20,105,4,13,6,-9,57%,74,27%,0,2,-2
trexx,VIT,Map_2_2Abyss,Attack,Sova,2.30,373,17,4,5,+13,92%,245,42%,0,0,0
Less,VIT,Map_2_2Abyss,Attack,Astra,1.13,200,8,6,5,+2,75%,140,28%,0,0,0
Kicks,VIT,Map_2_2Abyss,Attack,Breach,1.33,229,11,6,5,+5,92%,132,27%,0,0,0
Sayf,VIT,Map_2_2Abyss,Attack,Tejo,1.35,261,13,6,3,+7,92%,183,24%,2,1,+1
Derke,VIT,Map_2_2Abyss,Attack,Jett,0.61,202,8,10,2,-2,42%,122,16%,4,5,-1
RieNs,TH,Map_2_2Abyss,Attack,Sova,0.86,219,2,2,0,0,100%,143,100%,1,0,+1
Wo0t,TH,Map_2_2Abyss,Attack,Chamber,0.02,28,0,2,1,-2,,28,0%,0,0,0
benjyfishy,TH,Map_2_2Abyss,Attack,Tejo,0.68,170,1,2,2,-1,100%,110,25%,0,0,0
MiniBoo,TH,Map_2_2Abyss,Attack,Yoru,0.02,40,0,2,2,-2,50%,15,0%,0,1,-1
Boo,TH,Map_2_2Abyss,Attack,Astra,1.81,390,3,2,2,+1,100%,248,50%,0,0,0
trexx,VIT,Map_2_2Abyss,Defend,Sova,0.01,11,0,2,0,-2,,11,,0,1,-1
Less,VIT,Map_2_2Abyss,Defend,Astra,4.23,553,5,0,3,+5,100%,359,31%,0,0,0
Kicks,VIT,Map_2_2Abyss,Defend,Breach,2.41,347,2,1,5,+1,100%,242,56%,1,0,+1
Sayf,VIT,Map_2_2Abyss,Defend,Tejo,1.84,346,2,2,0,0,100%,161,13%,0,0,0
Derke,VIT,Map_2_2Abyss,Defend,Jett,0.37,28,0,2,1,-2,100%,28,0%,0,1,-1
RieNs,TH,Map_2_2Abyss,Defend,Sova,1.25,273,11,11,5,0,75%,168,39%,2,0,+2
Wo0t,TH,Map_2_2Abyss,Defend,Chamber,0.94,214,9,11,0,-2,58%,133,32%,2,2,0
benjyfishy,TH,Map_2_2Abyss,Defend,Tejo,0.55,183,6,12,6,-6,75%,135,35%,1,0,+1
MiniBoo,TH,Map_2_2Abyss,Defend,Yoru,0.63,138,5,11,5,-6,50%,97,38%,1,1,0
Boo,TH,Map_2_2Abyss,Defend,Astra,0.02,58,1,11,4,-10,50%,45,8%,0,2,-2
