,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Sayf VIT,,4 Round 3 keiko nAts Round 11 keiko kamyk Round 12 paTiTek kamyk Round 13 paTiTek keiko,,1 Round 14 nAts kamyk keiko kamo,,,,,,,54,1,1
trexx VIT,,1 Round 3 kamyk paTiTek,1 Round 5 kamo keiko kamyk,,,,,,,,46,2,0
Derke VIT,,2 Round 10 nAts keiko Round 19 nAts paTiTek,1 Round 4 kamo paTiTek nAts,1 Round 17 kamo keiko nAts kamyk,,,,,,,50,2,0
Less VIT,,2 Round 7 paTiTek keiko Round 18 nAts keiko,,2 Round 8 kamo nAts kamyk keiko Round 20 kamo keiko paTiTek kamyk,,2 Round 7 kamyk Round 19 keiko,,,,,73,1,2
Kicks VIT,,1 Round 12 keiko kamo,,1 Round 16 kamyk kamo nAts paTiTek,,,,,,,44,3,0
paTiTek TL,,1 Round 1 trexx Less,,,,,,,,,45,3,1
nAts TL,,,,,,,,,,,30,0,0
kamyk TL,,3 Round 2 Kicks Sayf Round 9 Derke Sayf Round 15 Less Kicks,1 Round 18 Derke Kicks Less,,,,1 Round 18 Less Kicks,,,,71,1,0
keiko TL,,4 Round 2 Less trexx Round 3 trexx Derke Round 16 trexx Kicks Round 19 Sayf Derke,2 Round 1 Derke Kicks Sayf Round 6 Derke Kicks Sayf,,,,,,,,65,1,0
kamo TL,,3 Round 3 Sayf Kicks Round 5 Kicks Derke Round 7 Sayf Derke,,,,,1 Round 3 Kicks Sayf,,,,44,0,1
