,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Sayf VIT,,3 Round 7 paTiTek nAts Round 8 nAts kamo Round 14 kamo keiko,1 Round 5 kamo nAts kamyk,2 Round 11 paTiTek keiko kamyk nAts Round 13 kamo kamyk nAts keiko Sayf,,2 Round 13 keiko Round 14 keiko,,,,,69,0,1
trexx VIT,,3 Round 6 paTiTek keiko Round 14 kamyk paTiTek Round 21 kamyk keiko,1 Round 4 nAts keiko kamo,,,,,,,,43,0,0
Derke VIT,,2 Round 4 paTiTek kamyk Round 16 kamyk paTiTek,1 Round 7 kamyk keiko kamo,,1 Round 3 nAts kamo paTiTek keiko kamyk,,,,,,51,0,0
Less VIT,,2 Round 1 paTiTek kamyk Round 20 paTiTek keiko,2 Round 2 nAts keiko paTiTek Round 18 kamo kamyk keiko,,,,,,,,62,0,1
Kicks VIT,,3 Round 1 nAts keiko Round 19 kamyk nAts Round 21 kamo nAts,,,,,,,,,36,6,1
paTiTek TL,,,1 Round 15 trexx Less Kicks,,,,,,,,23,3,0
nAts TL,,1 Round 12 Less Sayf,1 Round 19 Derke trexx Sayf,,,,,,,,53,2,0
kamyk TL,,,1 Round 20 Derke Sayf Less,,,,,,,,48,2,0
keiko TL,,4 Round 10 trexx Kicks Round 12 Derke trexx Round 17 Sayf Kicks Round 18 Sayf Derke,2 Round 8 Derke trexx Sayf Round 14 trexx Derke Kicks,,,,,,,,74,0,1
kamo TL,,,1 Round 9 trexx Sayf Kicks,,,,,,,,43,1,0
