Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
PROFEK,BBL,All_Maps,All,"Omen, Viper",1.20,217,56,44,32,+12,76%,142,31%,4,6,-2
MAGNUM,BBL,All_Maps,All,"Fade, Killjoy",1.15,237,58,50,28,+8,79%,151,23%,7,5,+2
sociablEE,BBL,All_Maps,All,Tejo,1.12,229,59,47,15,+12,76%,154,25%,8,3,+5
LewN,BBL,All_Maps,All,Jett,1.12,248,62,54,16,+8,72%,171,39%,16,12,+4
Jamppi,BBL,All_Maps,All,Kayo,0.78,178,38,54,41,-16,72%,104,22%,3,8,-5
yetujey,FUT,All_Maps,All,"Killjoy, Deadlock",1.26,246,61,49,15,+12,71%,154,26%,6,9,-3
qRaxs,FUT,All_Maps,All,Kayo,1.20,226,59,50,35,+9,74%,141,28%,4,4,0
MrFaliN,FUT,All_Maps,All,"Sova, Tejo",1.09,197,48,53,28,-5,63%,156,22%,7,7,0
AtaKaptan,FUT,All_Maps,All,"Omen, Viper",0.85,178,45,58,23,-13,63%,128,30%,3,3,0
xeus,FUT,All_Maps,All,"Jett, Waylay",0.49,154,36,63,8,-27,53%,98,33%,14,15,-1
PROFEK,BBL,All_Maps,Attack,"Omen, Viper",1.45,256,34,21,15,+13,86%,166,40%,3,3,0
MAGNUM,BBL,All_Maps,Attack,"Fade, Killjoy",1.30,251,30,24,14,+6,83%,172,25%,3,2,+1
sociablEE,BBL,All_Maps,Attack,Tejo,0.98,171,22,20,9,+2,72%,119,22%,0,2,-2
LewN,BBL,All_Maps,Attack,Jett,1.20,286,36,28,5,+8,67%,184,45%,11,6,+5
Jamppi,BBL,All_Maps,Attack,Kayo,0.49,129,15,31,20,-16,69%,86,22%,1,5,-4
yetujey,FUT,All_Maps,Attack,"Killjoy, Deadlock",1.23,238,31,25,6,+6,67%,147,24%,4,8,-4
qRaxs,FUT,All_Maps,Attack,Kayo,1.19,218,29,25,20,+4,75%,140,25%,0,2,-2
MrFaliN,FUT,All_Maps,Attack,"Sova, Tejo",1.11,199,23,25,11,-2,69%,140,23%,2,1,+1
AtaKaptan,FUT,All_Maps,Attack,"Omen, Viper",1.01,210,26,28,12,-2,67%,150,32%,2,0,+2
xeus,FUT,All_Maps,Attack,"Jett, Waylay",0.40,144,16,33,6,-17,53%,100,26%,8,9,-1
PROFEK,BBL,All_Maps,Defend,"Omen, Viper",0.96,178,22,23,17,-1,67%,118,21%,1,3,-2
MAGNUM,BBL,All_Maps,Defend,"Fade, Killjoy",1.01,216,28,26,14,+2,75%,131,20%,4,3,+1
sociablEE,BBL,All_Maps,Defend,Tejo,1.26,293,37,27,6,+10,81%,189,26%,8,1,+7
LewN,BBL,All_Maps,Defend,Jett,1.03,218,26,26,11,0,78%,158,32%,5,6,-1
Jamppi,BBL,All_Maps,Defend,Kayo,1.08,194,23,23,21,0,75%,122,22%,2,3,-1
yetujey,FUT,All_Maps,Defend,"Killjoy, Deadlock",1.29,241,30,24,9,+6,75%,160,28%,2,1,+1
qRaxs,FUT,All_Maps,Defend,Kayo,1.20,230,30,25,15,+5,72%,143,31%,4,2,+2
MrFaliN,FUT,All_Maps,Defend,"Sova, Tejo",1.08,242,25,28,17,-3,56%,173,22%,5,6,-1
AtaKaptan,FUT,All_Maps,Defend,"Omen, Viper",0.69,155,19,30,11,-11,58%,106,29%,1,3,-2
xeus,FUT,All_Maps,Defend,"Jett, Waylay",0.57,149,20,30,2,-10,53%,96,42%,6,6,0
