Map,Round Number,Score,Winning Team,Winning Side,Win Method
1Icebox,1,"""0-1""",FUT,Defenders,Defuse
1Icebox,2,"""1-1""",M8,Attackers,Elimination
1Icebox,3,"""2-1""",M8,Attackers,Elimination
1Icebox,4,"""3-1""",M8,Attackers,Elimination
1Icebox,5,"""4-1""",M8,Attackers,Elimination
1Icebox,6,"""4-2""",FUT,Defenders,Elimination
1Icebox,7,"""4-3""",FUT,Defenders,Defuse
1Icebox,8,"""5-3""",M8,Attackers,Elimination
1Icebox,9,"""5-4""",FUT,Defenders,Elimination
1Icebox,10,"""5-5""",FUT,Defenders,Elimination
1Icebox,11,"""6-5""",M8,Attackers,Elimination
1Icebox,12,"""6-6""",FUT,Defenders,Elimination
1Icebox,13,"""7-6""",FUT,Defenders,Defuse
1Icebox,14,"""8-6""",FUT,Defenders,Elimination
1Icebox,15,"""8-7""",M8,Attackers,Elimination
1Icebox,16,"""8-8""",M8,Attackers,Elimination
1Icebox,17,"""9-8""",FUT,Defenders,Defuse
1Icebox,18,"""9-9""",M8,Attackers,Elimination
1Icebox,19,"""9-10""",M8,Attackers,Elimination
1Icebox,20,"""9-11""",M8,Attackers,Elimination
1Icebox,21,"""10-11""",FUT,Defenders,Defuse
1Icebox,22,"""10-12""",M8,Attackers,Elimination
1Icebox,23,"""10-13""",M8,Attackers,Elimination
1Icebox,24,"""""",,,
