,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
ANGE1 NAVI,,1 Round 7 tomaszy runneR,,,,,,,,,43,2,0
Shao NAVI,,2 Round 1 purp0 runneR Round 16 Cloud purp0,1 Round 2 tomaszy runneR purp0,,,1 Round 20 Cloud,,,,,35,2,1
koalanoob NAVI,,2 Round 4 runneR purp0 Round 10 runneR purp0,,,,,,,,,31,0,0
Ruxic NAVI,,4 Round 1 westside Cloud Round 4 westside Cloud Round 5 tomaszy runneR Round 6 purp0 Cloud,1 Round 20 purp0 westside runneR,1 Round 17 westside purp0 Cloud runneR,,1 Round 17 runneR,,,,,71,1,0
hiro NAVI,,3 Round 6 westside runneR Round 12 purp0 westside Round 13 Cloud westside,1 Round 18 purp0 westside runneR,,,1 Round 12 westside,,1 Round 18 runneR purp0 westside,,,48,0,2
purp0 GX,,3 Round 11 Shao koalanoob Round 21 ANGE1 Shao Round 22 koalanoob Ruxic,,,,,,,,,70,1,2
Cloud GX,,3 Round 10 Ruxic Shao Round 19 ANGE1 koalanoob Round 20 hiro Ruxic,,,,,,,,,62,1,0
tomaszy GX,,4 Round 14 ANGE1 Shao Round 15 Ruxic hiro Round 18 koalanoob Ruxic Round 19 hiro Shao,,,,,,,,,37,2,0
runneR GX,,3 Round 9 koalanoob Shao Round 17 koalanoob hiro Round 18 Shao ANGE1,1 Round 16 hiro ANGE1 Shao,,,1 Round 16 Shao,,,,,57,5,1
westside GX,,2 Round 10 hiro koalanoob Round 15 koalanoob Shao,2 Round 7 Ruxic ANGE1 hiro Round 13 Ruxic koalanoob Shao,,,,,,,,59,0,0
