Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
Less,VIT,Map_2_2Icebox,All,Viper,1.17,243,15,12,4,+3,74%,150,34%,1,0,+1
CyvOph,VIT,Map_2_2Icebox,All,Killjoy,1.08,204,15,16,2,-1,68%,135,31%,1,2,-1
Derke,VIT,Map_2_2Icebox,All,Jett,0.93,198,12,14,4,-2,47%,136,22%,3,8,-5
Sayf,VIT,Map_2_2Icebox,All,Sova,0.79,155,10,15,5,-5,68%,109,29%,0,0,0
Kicks,VIT,Map_2_2Icebox,All,Kayo,0.37,96,4,16,6,-12,53%,71,10%,0,4,-4
MiniBoo,TH,Map_2_2Icebox,All,Neon,1.77,301,22,10,3,+12,89%,202,39%,6,1,+5
Wo0t,TH,Map_2_2Icebox,All,Tejo,1.38,290,20,12,5,+8,89%,176,34%,3,1,+2
Boo,TH,Map_2_2Icebox,All,Viper,0.87,128,8,10,4,-2,74%,77,19%,3,0,+3
RieNs,TH,Map_2_2Icebox,All,Sova,0.80,177,12,12,6,0,79%,120,63%,2,1,+1
benjyfishy,TH,Map_2_2Icebox,All,Vyse,0.71,152,11,12,3,-1,68%,114,50%,0,2,-2
Less,VIT,Map_2_2Icebox,Attack,Viper,0.86,160,3,5,1,-2,57%,114,20%,0,0,0
CyvOph,VIT,Map_2_2Icebox,Attack,Killjoy,0.73,173,4,6,1,-2,43%,110,38%,0,1,-1
Derke,VIT,Map_2_2Icebox,Attack,Jett,0.02,57,0,7,2,-7,29%,57,0%,0,4,-4
Sayf,VIT,Map_2_2Icebox,Attack,Sova,0.94,176,5,6,0,-1,71%,104,36%,0,0,0
Kicks,VIT,Map_2_2Icebox,Attack,Kayo,0.44,112,2,6,1,-4,29%,75,17%,0,2,-2
MiniBoo,TH,Map_2_2Icebox,Attack,Neon,1.38,241,11,8,3,+3,83%,169,48%,3,1,+2
Wo0t,TH,Map_2_2Icebox,Attack,Tejo,1.39,335,14,9,4,+5,92%,201,35%,2,1,+1
Boo,TH,Map_2_2Icebox,Attack,Viper,0.67,130,5,8,1,-3,67%,86,26%,1,0,+1
RieNs,TH,Map_2_2Icebox,Attack,Sova,0.67,132,6,8,4,-2,83%,82,75%,1,1,0
benjyfishy,TH,Map_2_2Icebox,Attack,Vyse,0.60,159,7,9,2,-2,67%,120,46%,0,2,-2
Less,VIT,Map_2_2Icebox,Defend,Viper,1.35,293,12,7,3,+5,83%,172,43%,1,0,+1
CyvOph,VIT,Map_2_2Icebox,Defend,Killjoy,1.28,222,11,10,1,+1,83%,149,28%,1,1,0
Derke,VIT,Map_2_2Icebox,Defend,Jett,1.55,281,12,7,2,+5,58%,181,35%,3,4,-1
Sayf,VIT,Map_2_2Icebox,Defend,Sova,0.70,143,5,9,5,-4,67%,112,24%,0,0,0
Kicks,VIT,Map_2_2Icebox,Defend,Kayo,0.33,88,2,10,5,-8,67%,68,5%,0,2,-2
MiniBoo,TH,Map_2_2Icebox,Defend,Neon,2.44,407,11,2,0,+9,100%,259,31%,3,0,+3
Wo0t,TH,Map_2_2Icebox,Defend,Tejo,1.36,214,6,3,1,+3,86%,134,31%,1,0,+1
Boo,TH,Map_2_2Icebox,Defend,Viper,1.21,125,3,2,3,+1,86%,62,8%,2,0,+2
RieNs,TH,Map_2_2Icebox,Defend,Sova,1.04,257,6,4,2,+2,71%,186,55%,1,0,+1
benjyfishy,TH,Map_2_2Icebox,Defend,Vyse,0.89,141,4,3,1,+1,71%,104,57%,0,0,0
